date,avg_pear,avgY_pear
2019-10-07,33641,31034
2019-10-08,33371,30923
2019-10-10,33064,30685
2019-10-11,33064,30651
2019-10-14,32455,30208
2019-10-15,32983,30362
2019-10-16,32983,30310
2019-10-17,32214,30028
2019-10-18,32060,29856
2019-10-21,31856,29534
2019-10-22,32114,29492
2019-10-23,31655,29496
2019-10-24,32138,29361
2019-10-25,32217,29252
2019-10-28,32292,29072
2019-10-29,32228,29097
2019-10-30,32158,29064
2019-10-31,32012,28993
2019-11-01,31704,28992
2019-11-04,31338,28836
2019-11-05,31338,28887
2019-11-06,31338,28965
2019-11-07,31525,28970
2019-11-08,31622,28992
2019-11-11,31383,28952
2019-11-12,30985,29081
2019-11-13,30836,29133
2019-11-14,30722,29175
2019-11-15,30574,29214
2019-11-18,30603,29294
2019-11-19,30603,29268
2019-11-20,30603,29313
2019-11-21,30197,29481
2019-11-22,30197,29442
2019-11-25,30197,29500
2019-11-26,30141,29449
2019-11-27,30697,29421
2019-11-28,31129,29593
2019-11-29,31129,29758
2019-12-02,30775,29787
2019-12-03,30775,29689
2019-12-04,31124,29552
2019-12-05,31307,29546
2019-12-09,31099,29525
2019-12-10,31099,29861
2019-12-11,31099,29951
2019-12-12,31533,30042
2019-12-13,31402,30117
2019-12-16,31489,30159
2019-12-17,31489,30192
2019-12-18,31367,30268
2019-12-19,31413,30265
2019-12-20,31587,30330
2019-12-23,31553,30385
2019-12-24,31553,30351
2019-12-26,31387,30316
2019-12-27,31656,30285
2019-12-30,31572,30292
2019-12-31,31572,30320
