date,avg_moo,avgY_moo
2010-12-07,2944,1445
2010-12-08,2939,1435
2010-12-09,2947,1436
2010-12-10,2816,1445
2010-12-13,2764,1433
2010-12-14,2663,1435
2010-12-15,2685,1424
2010-12-16,2601,1421
2010-12-17,2608,1418
2010-12-20,2450,1415
2010-12-21,2410,1364
2010-12-22,2467,1353
2010-12-23,2182,1360
2010-12-24,2128,1363
2010-12-27,2096,1363
2010-12-28,2096,1361
2010-12-29,2096,1356
2010-12-30,1978,1353
2010-12-31,1941,1354
2011-01-03,1994,1362
2011-01-04,1977,1357
2011-01-05,1970,1346
2011-01-06,1898,1336
2011-01-07,1907,1324
2011-01-10,1813,1268
2011-01-11,1811,1256
2011-01-12,1793,1252
2011-01-13,1671,1260
2011-01-14,1630,1262
2011-01-17,1611,1262
2011-01-18,1628,1252
2011-01-19,1583,1244
2011-01-20,1419,1239
2011-01-21,1401,1235
2011-01-24,1374,1230
2011-01-25,1436,1229
2011-01-26,1437,1230
2011-01-27,1396,1229
2011-01-28,1410,1224
2011-01-31,1461,1199
2011-02-01,1486,1194
2011-02-07,1450,1190
2011-02-08,1443,1190
2011-02-09,1425,1194
2011-02-10,1370,1195
2011-02-11,1353,1190
2011-02-14,1348,1168
2011-02-15,1364,1163
2011-02-16,1383,1162
2011-02-17,1490,1159
2011-02-18,1500,1156
2011-02-21,1508,1152
2011-02-22,1488,1156
2011-02-23,1494,1160
2011-02-24,1480,1166
2011-02-25,1503,1168
2011-02-28,1529,1185
2011-03-02,1540,1186
2011-03-03,1348,1186
2011-03-04,1313,1189
2011-03-07,1272,1178
2011-03-08,1291,1179
2011-03-09,1283,1178
2011-03-10,1233,1179
2011-03-11,1240,1180
2011-03-14,1355,1180
2011-03-15,1351,1178
2011-03-16,1359,1181
2011-03-17,1427,1182
2011-03-18,1431,1186
2011-03-21,1431,1186
2011-03-22,1441,1186
2011-03-23,1444,1183
2011-03-24,1410,1181
2011-03-25,1392,1178
2011-03-28,1383,1166
2011-03-29,1398,1165
2011-03-30,1395,1162
2011-03-31,1492,1164
2011-04-01,1490,1161
2011-04-04,1483,1183
2011-04-05,1483,1182
2011-04-06,1483,1191
2011-04-07,1557,1201
2011-04-08,1577,1214
2011-04-11,1616,1250
2011-04-12,1612,1254
2011-04-13,1620,1258
2011-04-14,1626,1257
2011-04-15,1599,1255
2011-04-18,1592,1252
2011-04-19,1575,1254
2011-04-20,1591,1267
2011-04-21,1562,1275
2011-04-22,1569,1283
2011-04-25,1576,1316
2011-04-26,1566,1331
2011-04-27,1549,1356
2011-04-28,1530,1360
2011-04-29,1530,1363
2011-05-02,1512,1387
2011-05-03,1514,1371
2011-05-04,1513,1359
2011-05-06,1519,1376
2011-05-09,1501,1432
2011-05-11,1494,1462
2011-05-12,1541,1464
2011-05-13,1628,1466
2011-05-16,1699,1494
2011-05-17,1699,1494
2011-05-18,1687,1500
2011-05-19,1625,1509
2011-05-20,1603,1526
2011-05-23,1593,1550
2011-05-24,1581,1553
2011-05-25,1564,1539
2011-05-26,1596,1533
2011-05-27,1602,1426
2011-05-30,1589,1398
2011-05-31,1589,1378
2011-06-01,1574,1375
2011-06-02,1538,1449
2011-06-03,1538,1462
2011-06-07,1505,1527
2011-06-08,1510,1490
2011-06-09,1306,1493
2011-06-10,1306,1493
2011-06-13,1282,1515
2011-06-14,1282,1520
2011-06-15,1304,1528
2011-06-16,1260,1529
2011-06-17,1267,1532
2011-06-20,1281,1560
2011-06-21,1272,1570
2011-06-22,1259,1592
2011-06-23,1257,1611
2011-06-24,1266,1609
2011-06-27,1249,1624
2011-06-28,1231,1624
2011-06-29,1227,1584
2011-06-30,1232,1584
2011-07-01,1217,1587
2011-07-04,1241,1619
2011-07-05,1245,1613
2011-07-06,1259,1629
2011-07-07,1291,1632
2011-07-08,1306,1633
2011-07-11,1301,1641
2011-07-12,1301,1642
2011-07-13,1327,1651
2011-07-14,1461,1675
2011-07-15,1519,1685
2011-07-18,1572,1726
2011-07-19,1572,1750
2011-07-20,1568,1778
2011-07-21,1740,1797
2011-07-22,1756,1813
2011-07-25,1973,1809
2011-07-26,1994,1829
2011-07-27,2075,1897
2011-07-28,2568,1911
2011-07-29,2486,1927
2011-08-01,2802,1880
2011-08-02,2932,1911
2011-08-03,2980,1930
2011-08-04,3026,1982
2011-08-05,3038,1957
2011-08-08,3298,1892
2011-08-09,3250,1901
2011-08-10,3323,1896
2011-08-11,3498,1938
2011-08-12,3611,1946
2011-08-16,3640,1895
2011-08-17,3702,1935
2011-08-18,3797,1774
2011-08-19,3909,1795
2011-08-22,3977,1880
2011-08-23,3964,1887
2011-08-24,3906,1928
2011-08-25,3905,1936
2011-08-26,3968,1976
2011-08-29,3736,2007
2011-08-30,3707,1992
2011-08-31,3720,1977
2011-09-01,3524,1962
2011-09-02,3418,1956
2011-09-05,3434,1983
2011-09-06,3418,1989
2011-09-07,3424,1999
2011-09-08,3440,1995
2011-09-09,3307,1994
2011-09-14,3519,1972
2011-09-15,3413,1979
2011-09-16,3493,2000
2011-09-19,3229,2065
2011-09-20,3164,2081
2011-09-21,2801,2087
2011-09-22,2567,2084
2011-09-23,2329,2080
2011-09-26,2171,2099
2011-09-27,2108,2112
2011-09-28,2016,2144
2011-09-29,2165,2111
2011-09-30,2082,2119
2011-10-04,1936,2148
2011-10-05,1864,2195
2011-10-06,1612,2203
2011-10-07,1589,2199
2011-10-10,1593,2155
2011-10-11,1581,2153
2011-10-12,1571,2146
2011-10-13,1477,2124
2011-10-14,1623,2120
2011-10-17,1633,2143
2011-10-18,1621,2149
2011-10-19,1626,2249
2011-10-20,1589,2277
2011-10-21,1596,2184
2011-10-24,1543,1992
2011-10-25,1503,1915
2011-10-26,1580,1874
2011-10-27,1514,1850
2011-10-28,1499,1827
2011-10-31,1360,1787
2011-11-01,1292,1745
2011-11-02,1254,1728
2011-11-03,1327,1693
2011-11-04,1308,1655
2011-11-07,1221,1727
2011-11-08,1202,1735
2011-11-09,1171,1675
2011-11-10,1276,1726
2011-11-11,1265,1767
2011-11-14,1221,1714
2011-11-15,1171,1681
2011-11-16,1138,1600
2011-11-17,1080,1513
2011-11-18,1087,1619
2011-11-21,1054,1677
2011-11-22,1052,1630
2011-11-23,1058,1643
2011-11-24,1077,1661
2011-11-25,1065,1671
2011-11-28,1021,1609
2011-11-29,1004,1608
2011-11-30,996,1619
2011-12-02,1007,1618
2011-12-05,1046,1595
2011-12-06,1064,1592
2011-12-07,1125,1585
2011-12-08,1111,1581
2011-12-09,1101,1568
2011-12-12,1133,1550
2011-12-13,1114,1533
2011-12-14,1115,1523
2011-12-15,1177,1524
2011-12-16,1182,1521
2011-12-19,1188,1516
2011-12-20,1188,1516
2011-12-21,1188,1502
2011-12-22,1174,1486
2011-12-23,1177,1475
2011-12-26,1179,1467
2011-12-27,1179,1464
2011-12-28,1183,1459
2011-12-29,1051,1455
2011-12-30,1053,1454
2012-01-02,1069,1461
2012-01-03,1063,1463
2012-01-04,1056,1458
2012-01-05,1122,1457
2012-01-06,1136,1431
2012-01-09,1161,1368
2012-01-10,1159,1352
2012-01-11,1166,1339
2012-01-12,928,1323
2012-01-13,928,1326
2012-01-16,892,1307
2012-01-17,884,1303
2012-01-18,884,1281
2012-01-19,956,1263
2012-01-20,960,1240
2012-01-25,965,1202
2012-01-26,996,1204
2012-01-27,1030,1217
2012-01-30,1075,1222
2012-01-31,1080,1214
2012-02-01,1122,1218
2012-02-02,1124,1223
2012-02-03,1111,1224
2012-02-06,1109,1223
2012-02-07,1110,1221
2012-02-08,1107,1215
2012-02-09,1104,1204
2012-02-10,1133,1200
2012-02-13,1175,1186
2012-02-14,1205,1185
2012-02-15,1231,1193
2012-02-16,1289,1202
2012-02-17,1290,1205
2012-02-20,1308,1211
2012-02-21,1296,1209
2012-02-22,1305,1208
2012-02-23,1402,1211
2012-02-24,1384,1218
2012-02-27,1315,1229
2012-02-28,1310,1230
2012-02-29,1316,1244
2012-03-02,1371,1231
2012-03-05,1388,1193
2012-03-06,1405,1191
2012-03-07,1398,1184
2012-03-08,1348,1176
2012-03-09,1330,1170
2012-03-12,1347,1173
2012-03-13,1361,1173
2012-03-14,1347,1176
2012-03-15,1344,1183
2012-03-16,1328,1195
2012-03-19,1385,1203
2012-03-20,1385,1204
2012-03-21,1385,1202
2012-03-22,1392,1200
2012-03-23,1392,1193
2012-03-26,1398,1175
2012-03-27,1398,1173
2012-03-28,1390,1177
2012-03-29,1347,1186
2012-03-30,1356,1201
2012-04-02,1309,1217
2012-04-03,1279,1213
2012-04-04,1302,1210
2012-04-05,1225,1215
2012-04-06,1202,1230
2012-04-09,1239,1291
2012-04-10,1225,1303
2012-04-12,1231,1325
2012-04-13,1229,1330
2012-04-16,1226,1320
2012-04-17,1226,1318
2012-04-18,1213,1317
2012-04-19,1230,1316
2012-04-20,1240,1325
2012-04-23,1243,1345
2012-04-24,1243,1365
2012-04-25,1266,1369
2012-04-26,1278,1370
2012-04-27,1292,1370
2012-04-30,1321,1385
2012-05-02,1319,1389
2012-05-03,1358,1382
2012-05-04,1358,1334
2012-05-07,1402,1360
2012-05-08,1431,1399
2012-05-09,1458,1428
2012-05-10,1402,1428
2012-05-11,1500,1459
2012-05-14,1553,1513
2012-05-15,1493,1491
2012-05-16,1496,1489
2012-05-17,1578,1539
2012-05-18,1539,1555
2012-05-21,1573,1565
2012-05-22,1566,1578
2012-05-23,1570,1589
2012-05-24,1543,1589
2012-05-25,1541,1578
2012-05-29,1546,1458
2012-05-30,1504,1450
2012-05-31,1578,1413
2012-06-01,1552,1409
2012-06-04,1576,1514
2012-06-05,1587,1536
2012-06-07,1534,1533
2012-06-08,1527,1482
2012-06-11,1535,1453
2012-06-12,1558,1467
2012-06-13,1576,1479
2012-06-14,1542,1481
2012-06-15,1527,1485
2012-06-18,1585,1478
2012-06-19,1608,1491
2012-06-20,1604,1502
2012-06-21,1604,1512
2012-06-22,1604,1522
2012-06-25,1592,1527
2012-06-26,1634,1538
2012-06-27,1653,1545
2012-06-28,1717,1551
2012-06-29,1778,1509
2012-07-02,1857,1534
2012-07-03,1911,1545
2012-07-04,1976,1541
2012-07-05,2199,1542
2012-07-06,2231,1556
2012-07-09,2247,1572
2012-07-10,2217,1573
2012-07-11,2208,1579
2012-07-12,2072,1589
2012-07-13,2023,1599
2012-07-16,2026,1662
2012-07-17,2036,1670
2012-07-18,2025,1691
2012-07-19,2037,1713
2012-07-20,2033,1736
2012-07-23,2024,1824
2012-07-24,2021,1840
2012-07-25,2021,1870
2012-07-26,1989,1911
2012-07-27,2014,1999
2012-07-30,2021,2068
2012-07-31,2019,2057
2012-08-01,2008,2029
2012-08-02,1933,2029
2012-08-03,1882,2055
2012-08-06,1849,1967
2012-08-07,1854,2033
2012-08-08,1851,1878
2012-08-09,1833,1865
2012-08-10,1834,2143
2012-08-13,1845,2242
2012-08-14,1834,2241
2012-08-16,1871,2141
2012-08-17,1860,2144
2012-08-20,1861,2074
2012-08-21,1844,2057
2012-08-22,1844,2041
2012-08-23,1770,2044
2012-08-24,1763,2051
2012-08-27,1791,2152
2012-08-28,1791,2154
2012-08-29,1814,2111
