date,avg_baechoo,avgY_baechoo
2019-05-16,2458,2836
2019-05-17,2531,2721
2019-05-20,2620,2710
2019-05-21,2265,2704
2019-05-22,2272,2726
2019-05-23,2249,2770
2019-05-24,2282,2743
2019-05-27,2209,2753
2019-05-28,2219,2591
2019-05-29,2219,2685
2019-05-30,2366,2643
2019-05-31,2361,2597
2019-06-03,2375,2534
2019-06-04,2385,2515
2019-06-05,2413,2526
2019-06-07,2477,2533
2019-06-10,2477,2522
2019-06-11,2477,2522
2019-06-12,2562,2525
2019-06-13,2651,2532
2019-06-14,2692,2492
2019-06-17,2722,2460
2019-06-18,2774,2459
2019-06-19,2824,2465
2019-06-20,2891,2466
2019-06-21,2887,2464
2019-06-24,2913,2464
2019-06-25,2901,2476
2019-06-26,2906,2500
2019-06-27,2924,2524
2019-06-28,2999,2545
2019-07-01,3031,2567
2019-07-02,3038,2579
2019-07-03,3027,2581
2019-07-04,3077,2613
2019-07-05,3062,2641
2019-07-08,3060,2706
2019-07-09,3056,2725
2019-07-10,3075,2753
2019-07-11,3090,2803
2019-07-12,3176,2829
2019-07-15,3181,2970
2019-07-16,3209,2953
2019-07-17,3146,2986
2019-07-18,3205,3249
2019-07-19,3214,3373
2019-07-22,3209,3648
2019-07-23,3238,3594
2019-07-24,3216,3678
2019-07-25,3275,3873
2019-07-26,3261,3914
2019-07-29,3313,3941
2019-07-30,3334,3977
2019-07-31,3338,3842
2019-08-01,3312,3843
2019-08-02,3293,3814
2019-08-05,3296,4064
2019-08-06,3301,4219
2019-08-07,3287,4157
2019-08-08,3391,4151
2019-08-09,3415,4198
2019-08-12,3417,4305
2019-08-13,3444,4200
2019-08-14,3440,4177
2019-08-16,3396,4276
2019-08-19,3432,4262
2019-08-20,3486,4351
2019-08-21,3429,4373
2019-08-22,3583,4462
2019-08-23,3602,4504
2019-08-26,3602,4953
2019-08-27,3618,5003
2019-08-28,3636,5198
2019-08-29,3730,5235
2019-08-30,3758,5262
2019-09-02,3883,5368
2019-09-03,3919,5380
2019-09-04,4045,5300
2019-09-05,4570,5292
2019-09-06,4784,5289
2019-09-09,5015,5344
2019-09-10,5125,5310
2019-09-11,5193,5191
2019-09-16,5260,5016
2019-09-17,5208,4988
2019-09-18,5221,4941
2019-09-19,5496,4889
2019-09-20,5622,4835
2019-09-23,5663,4726
2019-09-24,6162,4843
2019-09-25,6492,4830
2019-09-26,6641,4804
2019-09-27,6674,4791
2019-09-30,6903,4527
2019-10-01,7177,4642
2019-10-02,7328,4560
2019-10-04,7876,4448
2019-10-07,8004,4319
2019-10-08,7437,4288
2019-10-10,7122,4194
2019-10-11,6968,3983
2019-10-14,6826,3702
2019-10-15,6786,3659
2019-10-16,6626,3586
2019-10-17,6578,3456
2019-10-18,6531,3343
2019-10-21,6417,3139
2019-10-22,6291,3097
2019-10-23,6149,3060
2019-10-24,6014,3002
2019-10-25,5680,2947
2019-10-28,5710,2865
2019-10-29,5390,2920
2019-10-30,5327,2930
2019-10-31,5141,2784
2019-11-01,5027,2524
2019-11-04,5037,2496
2019-11-05,4841,2505
2019-11-06,4746,2484
2019-11-07,4739,2454
2019-11-08,4399,2460
2019-11-11,4299,2604
2019-11-12,4200,2605
2019-11-13,4275,2533
2019-11-14,4262,2397
2019-11-15,4345,2334
2019-11-18,4450,2261
2019-11-19,4519,2262
2019-11-20,4645,2270
2019-11-21,4605,2291
2019-11-22,4600,2340
2019-11-25,4655,2456
2019-11-26,4691,2454
2019-11-27,4756,2432
2019-11-28,4680,2376
2019-11-29,4594,2350
2019-12-02,4625,2395
2019-12-03,4553,2431
2019-12-04,4569,2421
2019-12-05,4552,2433
2019-12-09,4651,2341
2019-12-10,4617,2388
2019-12-11,4650,2394
2019-12-12,4693,2406
2019-12-13,4680,2352
2019-12-16,4656,2404
2019-12-17,4632,2437
2019-12-18,4616,2438
2019-12-19,4592,2418
2019-12-20,4616,2401
2019-12-23,4589,2829
2019-12-24,4575,2924
2019-12-26,4495,2924
2019-12-27,4474,2947
2019-12-30,4502,3076
2019-12-31,4547,3105
