,날짜,평균,평년,현재일기,현재기온,이슬점온도,체감온도,강수량,습도,풍향,풍속,해면기압,태풍,태풍영향8,태풍영향10,태풍영향12,태풍영향14,태풍영향16,태풍영향18,태풍영향20
46,2015-03-12,1246,1252,-,10.7,-18.6,9.4,0.0,11.0,서,10.4,1019.6,0,x,x,x,x,x,x,x
47,2015-03-13,1241,1255,-,11.5,-1.6,10.4,0.0,40.0,서북서,10.1,1019.2,0,x,x,x,x,x,x,x
48,2015-03-16,1248,1283,-,20.2,-2.8,20.2,0.0,21.0,남남동,8.3,1020.0,0,x,x,x,x,x,x,x
49,2015-03-17,1253,1288,-,21.8,-2.8,21.8,0.0,19.0,남동,15.5,1016.2,0,x,x,x,x,x,x,x
50,2015-03-18,1260,1297,-,11.4,10.6,11.3,23.5,95.0,남남동,5.0,1010.7,0,x,x,x,x,x,x,x
51,2015-03-19,1257,1305,-,17.5,8.3,17.5,3.0,55.0,남,8.3,1013.8,0,x,x,x,x,x,x,x
52,2015-03-20,1239,1310,-,21.2,-0.1,21.2,0.0,24.0,남남동,9.4,1016.4,0,x,x,x,x,x,x,x
53,2015-03-23,1261,1304,-,13.5,-20.2,12.0,0.0,8.0,북서,16.9,1022.6,0,x,x,x,x,x,x,x
54,2015-03-24,1261,1300,-,12.1,-16.5,10.4,0.0,12.0,북서,15.8,1029.8,0,x,x,x,x,x,x,x
55,2015-03-25,1250,1298,-,13.6,-6.6,12.2,0.0,24.0,남남동,16.9,1034.2,0,x,x,x,x,x,x,x
56,2015-03-26,1297,1295,-,18.2,-6.5,18.2,0.0,18.0,남남서,9.0,1031.4,0,x,x,x,x,x,x,x
57,2015-03-27,1283,1290,-,19.9,-13.9,19.9,0.0,9.0,서,11.2,1024.2,0,x,x,x,x,x,x,x
58,2015-03-30,1283,1287,-,20.1,2.8,20.1,0.0,32.0,남남동,19.8,1019.5,0,x,x,x,x,x,x,x
59,2015-03-31,1286,1298,-,14.3,13.9,13.5,0.2,98.0,남남동,11.9,1017.0,0,x,x,x,x,x,x,x
60,2015-04-01,1283,1307,-,12.1,6.1,55.0,0.2,67.0,동남동,7.6,1016.4,0,x,x,x,x,x,x,x
61,2015-04-02,1303,1314,-,16.0,7.9,60.0,0.0,59.0,남동,16.9,1010.9,0,x,x,x,x,x,x,x
62,2015-04-03,1271,1314,-,22.9,11.6,69.0,19.5,49.0,서북서,13.3,1003.8,0,x,x,x,x,x,x,x
63,2015-04-06,1283,1314,-,12.3,10.3,54.0,9.5,88.0,남서,2.2,1017.0,0,x,x,x,x,x,x,x
64,2015-04-07,1283,1325,-,10.6,1.9,53.0,0.0,55.0,동남동,8.3,1024.0,0,x,x,x,x,x,x,x
65,2015-04-08,1283,1337,-,11.6,1.5,54.0,0.0,50.0,동,4.7,1026.2,0,x,x,x,x,x,x,x
66,2015-04-09,1334,1348,-,14.7,1.2,58.0,0.0,40.0,남동,16.6,1024.2,0,x,x,x,x,x,x,x
67,2015-04-10,1338,1353,-,19.6,0.0,64.0,0.0,27.0,남동,14.0,1020.2,0,x,x,x,x,x,x,x
68,2015-04-13,1321,1378,-,12.8,8.2,55.0,12.5,74.0,서북서,5.0,1015.4,0,x,x,x,x,x,x,x
69,2015-04-14,1317,1379,-,15.6,-1.0,59.0,8.5,32.0,남,16.9,1007.9,0,x,x,x,x,x,x,x
70,2015-04-15,1317,1380,-,19.0,3.5,63.0,0.0,36.0,서,16.9,1008.3,0,x,x,x,x,x,x,x
71,2015-04-16,1354,1380,-,18.6,8.2,63.0,0.0,51.0,남서,16.2,1008.5,0,x,x,x,x,x,x,x
72,2015-04-17,1326,1380,맑음,17.2,-4.1,61.0,0.0,23.0,서남서,7.9,1016.3,0,x,x,x,x,x,x,x
73,2015-04-20,1334,1367,-,12.2,10.4,54.0,7.0,89.0,북북서,5.4,1005.8,0,x,x,x,x,x,x,x
74,2015-04-21,1346,1371,-,18.8,8.1,64.0,0.0,50.0,남남동,19.1,1016.0,0,x,x,x,x,x,x,x
75,2015-04-22,1344,1379,-,22.6,3.6,67.0,0.0,29.0,남남동,15.8,1016.3,0,x,x,x,x,x,x,x
76,2015-04-23,1363,1389,-,23.1,-1.1,67.0,0.0,20.0,남남서,11.2,1020.8,0,x,x,x,x,x,x,x
