date,avg_scallion,avgY_scallion
2019-06-11,2690,2767
2019-06-12,2685,2760
2019-06-13,2837,2751
2019-06-14,2880,2734
2019-06-17,2948,2674
2019-06-18,2945,2669
2019-06-19,2912,2664
2019-06-20,2825,2648
2019-06-21,2810,2634
2019-06-24,2818,2586
2019-06-25,2807,2585
2019-06-26,2802,2577
2019-06-27,2682,2563
2019-06-28,2671,2556
2019-07-02,2656,2546
2019-07-03,2635,2549
2019-07-04,2410,2549
2019-07-05,2365,2549
2019-07-08,2476,2547
2019-07-09,2469,2551
2019-07-10,2465,2548
2019-07-11,2636,2546
2019-07-12,2673,2542
2019-07-15,2650,2517
2019-07-16,2641,2505
2019-07-17,2618,2507
2019-07-18,2684,2526
2019-07-19,2660,2548
2019-07-22,2679,2628
2019-07-23,2672,2633
2019-07-24,2672,2636
2019-07-25,2698,2638
2019-07-26,2688,2638
2019-07-29,2680,2617
2019-07-30,2703,2617
2019-07-31,2715,2632
2019-08-01,2656,2648
2019-08-02,2714,2659
2019-08-05,2720,2675
2019-08-06,2720,2670
2019-08-07,2752,2676
2019-08-08,2958,2694
2019-08-09,2926,2728
2019-08-12,3030,2803
2019-08-13,3018,2820
2019-08-14,3024,2832
2019-08-16,3020,2846
2019-08-19,3017,2885
2019-08-20,3019,2894
2019-08-21,2990,2911
2019-08-22,2906,2939
2019-08-23,2911,2973
2019-08-26,2917,3047
2019-08-27,2890,3068
2019-08-28,2891,3108
2019-08-29,2882,3152
2019-08-30,2900,3207
2019-09-02,2892,3304
2019-09-03,2895,3314
2019-09-04,2907,3321
2019-09-05,3000,3329
2019-09-06,2997,3344
2019-09-09,3072,3358
2019-09-10,3135,3361
2019-09-11,3216,3352
2019-09-16,3201,3330
2019-09-17,3139,3331
2019-09-18,3124,3328
2019-09-19,3135,3330
2019-09-20,3158,3337
2019-09-23,3178,3366
2019-09-24,3178,3372
2019-09-25,3166,3378
2019-09-26,3202,3380
2019-09-27,2989,3376
2019-09-30,3136,3361
2019-10-02,3145,3359
2019-10-04,3168,3350
2019-10-07,3173,3318
2019-10-08,3185,3308
2019-10-10,3120,3291
2019-10-11,3122,3273
2019-10-14,3118,3239
2019-10-15,3116,3236
2019-10-16,3086,3218
2019-10-17,3091,3202
2019-10-18,3103,3196
2019-10-21,3096,3132
2019-10-22,3094,3113
2019-10-23,3098,3089
2019-10-24,2991,3056
2019-10-25,2989,3035
2019-10-28,2994,2952
2019-10-29,3025,2948
2019-10-30,3025,2939
2019-10-31,3036,2908
2019-11-01,3036,2877
2019-11-04,3036,2839
2019-11-05,3038,2827
2019-11-06,3030,2818
2019-11-07,3072,2829
2019-11-08,3066,2846
2019-11-11,3070,2921
2019-11-12,3070,2925
2019-11-13,3070,2946
2019-11-14,2951,2961
2019-11-15,2856,2965
2019-11-18,2860,2992
2019-11-19,2839,2994
2019-11-20,2841,2995
2019-11-21,2994,2999
2019-11-22,2992,3001
2019-11-25,3022,3040
2019-11-26,3026,3056
2019-11-27,3014,3067
2019-11-28,3007,3066
2019-11-29,3019,3062
2019-12-02,2981,3085
2019-12-03,2992,3105
2019-12-04,3026,3120
2019-12-05,2998,3138
2019-12-09,2994,3211
2019-12-10,2982,3222
2019-12-11,2982,3223
2019-12-12,2869,3230
2019-12-13,2866,3233
2019-12-16,2856,3224
2019-12-17,2853,3209
2019-12-18,2840,3210
2019-12-19,2800,3202
2019-12-20,2798,3208
2019-12-23,2790,3196
2019-12-24,2791,3186
2019-12-26,2792,3175
2019-12-27,2766,3166
2019-12-30,2774,3149
2019-12-31,2792,3158
