date,avg_scallion,avgY_scallion
2016-01-05,3417,2705
2016-01-06,3406,2705
2016-01-07,3343,2700
2016-01-08,3322,2679
2016-01-11,3310,2620
2016-01-12,3293,2604
2016-01-13,3266,2594
2016-01-14,3230,2582
2016-01-15,3211,2579
2016-01-18,3063,2601
2016-01-19,3061,2605
2016-01-20,3077,2607
2016-01-21,3101,2600
2016-01-22,3075,2588
2016-01-25,3158,2558
2016-01-26,3299,2558
2016-01-27,3327,2572
2016-01-28,3807,2578
2016-01-29,3903,2580
2016-02-01,4162,2791
2016-02-02,4235,2821
2016-02-03,4243,2839
2016-02-04,4696,2855
2016-02-05,4793,2867
2016-02-11,4863,2913
2016-02-12,4780,2919
2016-02-15,4660,2946
2016-02-16,4699,2929
2016-02-17,4642,2918
2016-02-18,4490,2907
2016-02-19,4471,2893
2016-02-22,4492,2865
2016-02-23,4360,2853
2016-02-24,4311,2860
2016-02-25,4317,2851
2016-02-26,4270,2836
2016-02-29,4279,2173
2016-03-02,4417,2813
2016-03-03,4406,2810
2016-03-04,4362,2790
2016-03-07,4375,2774
2016-03-08,4360,2767
2016-03-09,4364,2772
2016-03-10,3955,2778
2016-03-11,4145,2773
2016-03-14,4178,2761
2016-03-15,4156,2785
2016-03-16,4149,2805
2016-03-17,4095,2821
2016-03-18,4095,2832
2016-03-21,4074,2856
2016-03-22,3803,2847
2016-03-23,3866,2837
2016-03-24,3543,2820
2016-03-25,3529,2807
2016-03-28,3547,2767
2016-03-29,3544,2742
2016-03-30,3538,2719
2016-03-31,3508,2704
2016-04-04,3436,2670
2016-04-05,3420,2651
2016-04-06,3444,2627
2016-04-07,3399,2609
2016-04-08,3379,2598
2016-04-11,3374,2606
2016-04-12,3383,2605
2016-04-14,3392,2583
2016-04-15,3455,2560
2016-04-18,3470,2517
2016-04-19,3491,2491
2016-04-20,3491,2458
2016-04-21,3471,2415
2016-04-22,3462,2365
2016-04-25,3474,2289
2016-04-26,3453,2262
2016-04-27,3384,2233
2016-04-28,3244,2235
2016-04-29,3229,2220
2016-05-02,3238,2204
2016-05-03,3257,2167
2016-05-04,3380,2146
2016-05-09,3611,2225
2016-05-10,3673,2232
2016-05-11,3680,2260
2016-05-12,3598,2288
2016-05-13,3588,2311
2016-05-16,3586,2396
2016-05-17,3456,2405
2016-05-18,3456,2421
2016-05-19,3288,2434
2016-05-20,3261,2446
2016-05-23,3075,2432
2016-05-24,3075,2417
2016-05-25,3075,2413
2016-05-26,3113,2418
2016-05-27,3076,2417
2016-05-30,3071,2456
2016-05-31,3016,2474
2016-06-01,3016,2489
2016-06-02,3013,2504
2016-06-03,3000,2509
2016-06-07,2989,2555
2016-06-08,2985,2555
2016-06-09,3238,2562
2016-06-10,3245,2566
2016-06-13,3237,2531
2016-06-14,2953,2516
2016-06-15,2888,2501
2016-06-16,2871,2492
2016-06-17,2821,2488
2016-06-20,2842,2451
2016-06-21,2848,2447
2016-06-22,2853,2438
2016-06-23,2818,2434
2016-06-24,2810,2420
2016-06-27,2797,2377
2016-06-28,2789,2358
2016-06-29,2797,2343
2016-06-30,2832,2331
2016-07-04,2833,2253
2016-07-05,2824,2241
2016-07-06,2693,2224
2016-07-07,2715,2208
2016-07-08,2694,2205
2016-07-11,2780,2176
2016-07-12,2804,2183
2016-07-13,2788,2200
2016-07-14,2639,2231
2016-07-15,2603,2261
2016-07-18,2603,2284
2016-07-19,2589,2288
2016-07-20,2599,2298
2016-07-21,2648,2292
2016-07-22,2621,2292
2016-07-25,2601,2289
2016-07-26,2598,2286
2016-07-27,2610,2279
2016-07-28,2560,2276
2016-07-29,2527,2271
2016-08-01,2519,2266
2016-08-02,2501,2266
2016-08-03,2472,2272
2016-08-04,2376,2276
2016-08-05,2398,2284
2016-08-08,2440,2296
2016-08-09,2437,2303
2016-08-10,2406,2309
2016-08-11,2532,2318
2016-08-12,2537,2333
2016-08-16,2548,2424
2016-08-17,2542,2441
2016-08-18,2534,2451
2016-08-19,2566,2474
2016-08-22,2595,2548
2016-08-23,2716,2567
2016-08-24,2665,2579
2016-08-25,2840,2582
2016-08-26,2773,2598
2016-08-29,2867,2679
2016-08-30,2916,2708
2016-08-31,2987,2733
2016-09-01,3147,2742
2016-09-02,3175,2742
2016-09-05,3173,2727
2016-09-06,3253,2738
2016-09-07,3255,2743
2016-09-08,3343,2759
2016-09-09,3308,2794
2016-09-12,3300,2819
2016-09-13,3206,2828
2016-09-19,3338,2980
2016-09-20,3398,2951
2016-09-21,3400,2920
2016-09-22,3411,2884
2016-09-23,3438,2854
2016-09-26,3426,2885
2016-09-27,3350,2882
2016-09-28,3302,2871
2016-09-29,3351,2860
2016-09-30,3366,2845
2016-10-05,3417,2781
2016-10-06,3333,2779
2016-10-07,3298,2760
2016-10-10,3328,2722
2016-10-11,3261,2702
2016-10-12,3229,2681
2016-10-13,3284,2663
2016-10-14,3341,2650
2016-10-17,3356,2553
2016-10-18,3369,2524
2016-10-19,3374,2503
2016-10-20,3413,2486
2016-10-21,3413,2461
2016-10-24,3411,2417
2016-10-25,3398,2412
2016-10-26,3424,2405
2016-10-27,3448,2384
2016-10-28,3409,2374
2016-10-31,3391,2314
2016-11-01,3362,2296
2016-11-02,3364,2279
2016-11-03,3233,2276
2016-11-04,3231,2267
2016-11-07,3214,2271
2016-11-08,3339,2277
2016-11-09,3392,2282
2016-11-10,3449,2284
2016-11-11,3424,2289
2016-11-14,3443,2297
2016-11-15,3489,2294
2016-11-16,3496,2293
2016-11-17,3396,2297
2016-11-18,3367,2300
2016-11-21,3379,2321
2016-11-22,3421,2312
2016-11-23,3443,2306
2016-11-24,3471,2305
2016-11-25,3547,2317
2016-11-28,3547,2384
2016-11-29,3547,2408
2016-11-30,3621,2429
2016-12-01,3708,2445
2016-12-05,3727,2553
2016-12-06,3721,2571
2016-12-07,3725,2585
2016-12-08,3772,2604
2016-12-09,3796,2628
2016-12-12,3841,2705
2016-12-13,3830,2719
2016-12-14,3801,2716
2016-12-15,3781,2707
2016-12-16,3778,2703
2016-12-19,3799,2629
2016-12-20,3819,2622
2016-12-21,3818,2613
2016-12-22,3766,2607
2016-12-23,3768,2600
2016-12-26,3771,2563
2016-12-27,3786,2545
2016-12-28,3782,2537
2016-12-29,3736,2526
2016-12-30,3741,2518
2017-01-03,3699,2533
2017-01-04,3699,2549
2017-01-05,3701,2569
2017-01-06,3700,2569
2017-01-09,3725,2505
2017-01-10,3703,2484
2017-01-11,3703,2465
2017-01-12,3620,2445
2017-01-13,3716,2432
2017-01-16,3672,2425
2017-01-17,3660,2432
2017-01-18,3663,2437
2017-01-19,3706,2431
2017-01-20,3721,2428
2017-01-23,3725,2419
2017-01-24,3756,2415
2017-01-25,3771,2424
2017-01-26,3747,2456
2017-01-31,3767,2628
2017-02-01,3778,2652
2017-02-02,3721,2693
2017-02-03,3713,2661
2017-02-06,3714,2739
2017-02-07,3764,2747
2017-02-08,3747,2754
2017-02-09,3688,2761
2017-02-10,3670,2765
2017-02-13,3688,2825
2017-02-14,3673,2849
2017-02-15,3674,2852
2017-02-16,3709,2833
2017-02-17,3689,2839
2017-02-20,3759,2837
2017-02-21,3778,2827
2017-02-22,3789,2811
2017-02-23,3797,2800
2017-02-24,3797,2798
2017-02-27,3788,2754
2017-02-28,3796,2742
2017-03-02,3925,2736
2017-03-03,3920,2735
2017-03-06,4000,2729
2017-03-07,4079,2723
2017-03-08,4106,2708
2017-03-09,4157,2707
2017-03-10,4160,2703
2017-03-13,4172,2655
2017-03-14,4139,2661
2017-03-15,4136,2674
2017-03-16,4130,2684
2017-03-17,4137,2691
2017-03-20,4164,2707
2017-03-21,4136,2714
2017-03-22,4106,2705
2017-03-23,4033,2696
2017-03-24,4038,2683
2017-03-27,4006,2651
2017-03-28,3995,2635
2017-03-29,3969,2617
2017-03-30,4023,2599
2017-03-31,3987,2590
2017-04-04,4014,2563
2017-04-05,3987,2565
2017-04-06,3820,2560
2017-04-07,3822,2553
2017-04-10,3812,2573
2017-04-11,3783,2588
2017-04-12,3750,2598
2017-04-13,3644,2598
2017-04-14,3626,2601
2017-04-17,3582,2561
2017-04-18,3545,2554
2017-04-19,3518,2549
2017-04-20,3208,2543
2017-04-21,3205,2541
2017-04-24,3156,2500
2017-04-25,3126,2483
2017-04-26,3132,2465
2017-04-27,3076,2438
2017-04-28,3064,2415
2017-05-02,3045,2422
2017-05-04,3020,2479
2017-05-08,3036,2576
2017-05-10,3028,2632
2017-05-11,3003,2665
2017-05-12,3011,2687
2017-05-15,3030,2750
2017-05-16,3030,2767
2017-05-17,3030,2772
2017-05-18,2958,2780
2017-05-19,2944,2782
2017-05-22,2922,2754
2017-05-23,2922,2745
2017-05-24,2922,2733
2017-05-25,2913,2725
2017-05-26,2898,2735
2017-05-29,2898,2761
2017-05-30,2891,2783
2017-05-31,2888,2799
2017-06-01,2884,2818
2017-06-02,2875,2831
2017-06-05,2879,2871
2017-06-07,2885,2901
2017-06-08,2808,2920
2017-06-09,2777,2942
2017-06-12,2768,2910
2017-06-13,2768,2889
2017-06-14,2759,2858
2017-06-15,2753,2819
2017-06-16,2734,2789
2017-06-19,2746,2749
2017-06-20,2734,2737
2017-06-21,2727,2728
2017-06-22,2566,2721
2017-06-23,2556,2718
2017-06-26,2556,2688
2017-06-27,2542,2671
2017-06-28,2542,2659
2017-06-29,2438,2654
2017-06-30,2446,2653
2017-07-04,2435,2587
