"통계분류(1)",통계분류(2),2017,2017,2017
"통계분류(1)",통계분류(2),사례수,이용한 적이 있다,이용한 적이 없다
"전체",소계,6000,22.2,77.8
"성별",남자,2988,20.6,79.4
"성별",여자,3012,23.7,76.3
"연령",18~29세,1070,42.2,57.8
"연령",30~39세,1071,28.7,71.3
"연령",40~49세,1218,23.5,76.5
"연령",50~59세,1190,13.6,86.4
"연령",60세 이상,1451,8.4,91.6
"학력",중졸 이하,1002,4.6,95.4
"학력",고졸 고퇴,2120,12.4,87.6
"학력",대재 이상,2878,35.5,64.5
"연간 독서량",없음,2408,3.9,96.1
"연간 독서량",1~5권,1433,30.7,69.3
"연간 독서량",6~10권,883,30.3,69.7
"연간 독서량",11~15권,239,46.1,53.9
"연간 독서량",16~20권,365,26.7,73.3
"연간 독서량",21권 이상,672,47.8,52.2
