"통계분류(1)",통계분류(2),2004,2004,2004,2004,2004,2004,2004,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017
"통계분류(1)",통계분류(2),사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,책을 전혀 읽지 않는다,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,책을 전혀 읽지 않는다,모름-무응답,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,출퇴근(통학)시 차 안에서,도서관에서,가리지않음,기 타,사례수,집에서,직장(학교)에서,도서관에서,밖에서 이동할 때,가리지않음,카페에서,서점에서,기 타
"연령별",50대 이상,94,72.3,19.1,1.1,0,5.3,2.1,149,72.5,14.1,2.7,1.3,7.4,2,169,57.4,16.6,2.4,3.6,17.2,3,277,36.8,14.1,0.7,1.4,1.8,2.9,42.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",60대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,27.1,3.7,0,1.9,3.7,0,62.6,0.9,44,81.8,6.8,0,6.8,2.3,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",60세 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.6,12.4,0,0.6,20.8,6.6,200,62.6,15.2,3.1,4.3,11.4,3.3,424,68.2,10.1,4,3.4,12.6,1.7,698,71.9,7.7,3.7,5.3,6,1.2,1.5,2.6
"학력별",중졸 이하,38,65.8,21.1,0,0,5.3,7.9,44,77.3,9.1,2.3,0,6.8,4.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,60.5,26.3,0,2.6,7.9,2.6,56.9,11.4,0,1.3,20.9,9.5,96,65.6,11.5,3.7,1.8,14.4,3,280,66.7,9.5,4.9,2.9,13.8,2.2,445,74.2,5.1,3.7,4.8,6.7,1.1,1.2,3.3
"학력별",고졸,306,67,19.9,4.2,0.7,8.2,0,289,63,17.3,4.2,1.7,10.4,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244,57,21.7,1.6,0.8,13.5,5.3,57,16.5,4.3,0.2,19.6,2.5,494,56.4,19.3,6.4,2.9,13.6,1.3,1207,60.4,14.9,7.2,2.9,13.6,1,1075,62.9,14.5,3,7,5.9,4,1.8,0.9
"학력별",대재이상,408,56.9,21.6,6.4,3.9,11,0.2,466,54.1,17.6,10.5,4.5,12.4,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,421,59.9,15,3.1,6.2,15.4,0.5,48.3,20.5,12.2,2.4,16.3,0.3,855,52.3,17.7,14,6.3,9.3,0.4,1884,53.7,15.5,13.9,4.6,11.6,0.8,2220,54.6,13.9,6.3,12.5,4.7,5.3,2.4,0.2
"연간독서량",없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,51.6,17.2,3.1,0,12.5,15.6,278,3.2,0.4,0,0.7,0.4,0.4,95,283,7.1,3.2,1.1,0,1.4,2.1,82.7,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,17,58.4,8.3,14.9,0.8,17,0.5,104,43.7,17.2,21,4.2,13,0.8,147,43.2,13.6,1.5,25.8,7.4,7.8,0.6,0
"연간독서량",1~5권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,289,65.4,13.5,5.9,2.8,1,11.4,167,62.9,25.1,4.2,1.8,3.6,2.4,0,334,67.1,11.1,6.3,2.7,10.8,0,0,2.1,250,69.2,19.6,1.6,0.8,8.4,0.4,-,-,-,-,-,-,458,57.1,17.1,8.7,2.4,13.2,1.5,977,57.8,16.9,10,2.9,11.3,1.1,1433,60.3,13,4.3,9.9,4.9,4.5,2.3,0.8
"연간독서량",6~10권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,191,63.4,16.8,7.3,3.1,8.4,0.5,0,0.5,135,57.8,17.8,3.7,6.7,13.3,0.7,-,-,-,-,-,-,531,53.2,18.1,13,4.2,11.1,0.4,1131,59.4,14.1,9.8,4.1,11.7,0.9,883,59.6,12,5.3,9.8,5.4,4.4,2.8,0.8
"연간독서량",6~15권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,276,63,11.6,6.9,4,0,14.5,341,64.5,19.6,6.2,2.9,4.7,2.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
