,5,6,7,8,9,10,11,12
소분류,13∼19세,15∼19세,20∼29세,30∼39세,40∼49세,50∼59세,60세 이상,65세 이상
계 (%),100.0,-,100.0,100.0,100.0,100.0,100.0,100.0
인구 1인당 평균독서권수 (권),15.7,-,14.5,12.4,11.7,6.0,3.0,2.3
독서함 (%),73.8,-,70.4,67.9,63.3,47.8,27.4,22.9
독서인구 1인당 평균독서권수 (권),21.3,-,20.6,18.3,18.4,12.5,10.9,10.1
잡지류,23.2,-,32.9,32.7,35.2,36.7,32.3,28.0
잡지평균권수,6.0,-,5.9,6.1,7.2,6.9,7.1,7.3
교양서적,76.3,-,67.1,60.0,65.8,66.4,71.4,75.5
교양서적평균권수,10.7,-,7.7,8.5,9.8,8.0,8.8,8.4
직업서적,19.7,-,46.7,44.4,41.9,34.2,14.9,10.6
직업서적평균권수,5.5,-,6.0,6.3,7.0,6.4,7.6,6.7
생활취미서적,16.7,-,24.7,39.1,27.9,24.9,18.6,15.9
생활취미서적평균권수,6.9,-,4.7,5.9,5.6,4.8,4.8,4.9
기타서적,45.5,-,32.6,26.0,16.0,7.8,2.9,2.8
기타서적평균권수,21.0,-,29.1,23.6,30.8,16.5,10.7,9.9
