,5,6,7,8,9,10,11,12
소분류,13∼19세,15∼19세,20∼29세,30∼39세,40∼49세,50∼59세,60세 이상,65세 이상
계 (%),100.0,-,100.0,100.0,100.0,100.0,100.0,100.0
인구 1인당 평균독서권수 (권),15.0,-,14.0,13.1,9.6,5.9,2.8,2.3
독서함 (%),74.2,-,73.8,68.5,63.2,47.1,27.1,22.9
독서인구 1인당 평균독서권수 (권),20.2,-,18.9,19.1,15.2,12.6,10.4,10.0
잡지류,25.1,-,39.4,36.9,38.3,40.3,34.8,33.1
잡지평균권수,6.2,-,6.4,6.1,6.4,7.5,6.8,7.3
교양서적,74.6,-,67.7,59.4,64.4,66.4,70.9,72.2
교양서적평균권수,10.3,-,7.9,8.4,8.7,7.5,8.3,8.1
직업서적,19.1,-,48.0,44.9,40.9,31.1,13.8,10.0
직업서적평균권수,5.5,-,6.7,7.1,6.5,6.6,6.0,5.6
생활취미서적,18.2,-,27.5,40.8,29.6,26.2,19.7,17.5
생활취미서적평균권수,5.7,-,4.3,6.6,4.9,4.3,4.4,4.5
기타서적,43.9,-,28.4,22.7,13.1,6.1,3.1,2.3
기타서적평균권수,20.2,-,23.5,26.5,23.0,22.3,13.2,17.9
