,5,6,7,8,9,10,11,12
소분류,13∼19세,15∼19세,20∼29세,30∼39세,40∼49세,50∼59세,60세 이상,65세 이상
계 (%),100.0,-,100.0,100.0,100.0,100.0,100.0,100.0
인구 1인당 평균독서권수 (권),13.1,-,9.8,9.9,9.2,5.2,2.4,1.8
독서함 (%),70.9,-,66.0,63.2,59.0,43.6,26.1,21.2
독서인구 1인당 평균독서권수 (권),18.4,-,14.9,15.6,15.7,11.9,9.2,8.7
잡지류,16.5,-,23.8,25.9,26.1,29.7,26.7,25.4
잡지평균권수,5.3,-,4.5,4.5,5.4,5.6,6.6,7.5
교양서적,77.1,-,66.1,60.9,64.8,66.3,72.8,76.8
교양서적평균권수,9.6,-,6.8,8.6,8.9,8.3,7.3,7.0
직업서적,19.3,-,47.0,44.8,43.4,36.4,16.9,11.6
직업서적평균권수,5.8,-,5.4,5.5,5.1,6.2,4.8,4.6
생활취미서적,15.2,-,21.7,34.6,27.9,22.3,19.2,15.9
생활취미서적평균권수,5.3,-,4.2,4.9,4.5,4.0,4.4,4.1
기타서적,44.9,-,28.3,25.2,18.5,8.3,4.1,3.3
기타서적평균권수,18.4,-,20.7,20.1,26.9,19.2,12.0,8.3
