날짜,현재기온,이슬점온도,체감온도,습도,풍속,해면기압
2012-04-07 14:00:00,13.8,-10.8,57,17,13.0,1022.0
2012-04-06 14:00:00,15.4,-11.1,59,15,39.6,1013.6
2012-04-05 14:00:00,16.7,-0.5,61,31,19.4,1009.0
2012-04-04 14:00:00,14.6,-0.3,58,36,20.2,1011.9
2012-04-03 14:00:00,10.0,-2.3,53,42,44.6,1000.2
2012-04-02 14:00:00,15.9,4.8,60,48,23.0,1019.0
2012-04-01 14:00:00,12.8,-12.4,56,16,10.8,1022.2
2012-03-31 14:00:00,14.1,-11.4,12.4,16,22.0,1014.7
2012-03-30 14:00:00,17.2,13.9,17.1,81,11.2,1013.5
2012-03-29 14:00:00,18.2,4.7,17.9,41,16.6,1023.5
2012-03-28 14:00:00,20.4,-4.0,20.4,19,13.0,1023.9
2012-03-27 14:00:00,17.1,-7.4,16.3,18,20.2,1022.6
2012-03-26 14:00:00,12.2,-11.4,11.1,18,10.8,1022.6
2012-03-25 14:00:00,9.9,-12.0,7.2,20,20.9,1016.9
2012-03-24 14:00:00,11.4,-8.4,8.9,24,23.0,1009.8
2012-03-23 14:00:00,9.3,7.7,7.9,90,9.4,1005.5
2012-03-22 14:00:00,8.0,1.8,6.8,65,7.6,1022.0
2012-03-21 14:00:00,14.8,-14.4,14.7,12,7.9,1022.1
2012-03-20 14:00:00,12.1,-17.5,10.7,11,13.7,1017.3
2012-03-19 14:00:00,12.6,-1.3,12.2,38,7.2,1018.8
2012-03-18 14:00:00,16.1,7.0,15.8,55,11.2,1010.8
2012-03-17 14:00:00,15.7,8.6,15.0,63,14.4,1009.8
2012-03-16 14:00:00,9.1,5.6,8.5,79,5.8,1018.8
2012-03-15 14:00:00,13.5,-7.2,11.9,23,18.7,1027.2
2012-03-14 14:00:00,12.6,-7.4,10.8,24,18.0,1024.4
2012-03-13 14:00:00,8.9,-12.9,6.8,20,13.0,1025.6
2012-03-12 14:00:00,7.5,-19.2,5.5,13,10.8,1024.8
2012-03-11 14:00:00,7.0,-17.9,4.1,15,16.2,1018.4
