날짜,현재기온,이슬점온도,체감온도,습도,풍속,해면기압
2015-10-05 14:00:00,26.1,7.6,26.1,31,8.6,1022.3
2015-10-04 14:00:00,25.7,7.2,25.7,31,9.7,1024.6
2015-10-03 14:00:00,26.0,7.5,26.0,31,9.7,1018.7
2015-10-02 14:00:00,22.2,-1.8,22.2,20,14.4,1014.3
2015-10-01 14:00:00,25.1,24.2,25.1,95,23.8,998.0
2015-09-30 14:00:00,21.5,10.9,67,51,9.4,1023.4
2015-09-29 14:00:00,27.8,11.3,74,36,6.1,1023.4
2015-09-28 14:00:00,30.0,5.9,74,22,6.5,1017.9
2015-09-27 14:00:00,26.9,14.6,74,47,16.6,1014.0
2015-09-26 14:00:00,28.2,17.0,76,51,11.5,1009.9
2015-09-25 14:00:00,26.1,15.1,73,51,4.0,1006.2
2015-09-24 14:00:00,22.9,17.5,71,72,6.5,1006.2
2015-09-23 14:00:00,19.2,18.5,66,96,10.4,1011.6
2015-09-22 14:00:00,26.2,13.9,73,47,18.0,1016.4
2015-09-21 14:00:00,28.2,16.1,76,48,8.6,1014.0
2015-09-20 14:00:00,27.0,15.3,74,49,10.4,1011.7
2015-09-19 14:00:00,26.6,15.6,74,51,7.9,1013.4
2015-09-18 14:00:00,26.7,13.4,73,44,4.7,1016.4
2015-09-17 14:00:00,19.7,18.7,67,94,8.3,1015.2
2015-09-16 14:00:00,24.2,13.4,71,51,5.0,1016.4
2015-09-15 14:00:00,24.8,10.6,71,41,5.0,1020.4
2015-09-14 14:00:00,24.8,7.8,70,34,6.8,1019.7
2015-09-13 14:00:00,25.4,6.0,70,29,14.0,1016.1
2015-09-12 14:00:00,21.9,20.8,71,94,3.6,1009.2
2015-09-11 14:00:00,28.1,12.8,74,39,13.0,1009.9
2015-09-10 14:00:00,27.7,9.4,73,32,12.2,1013.3
2015-09-09 14:00:00,28.8,8.4,74,28,5.4,1013.3
2015-09-08 14:00:00,26.6,9.8,72,35,9.0,1014.8
2015-09-07 14:00:00,27.2,11.2,73,37,7.6,1011.4
2015-09-06 14:00:00,22.5,15.5,70,65,9.7,1005.5
2015-09-05 14:00:00,26.9,15.9,74,51,13.3,1009.9
2015-09-04 14:00:00,29.2,17.7,77,50,9.7,1012.3
2015-09-03 14:00:00,26.6,20.4,76,69,4.7,1010.0
2015-09-02 14:00:00,28.5,19.4,77,58,10.1,1013.2
2015-09-01 14:00:00,26.6,18.7,75,62,10.4,1009.9
2015-08-31 14:00:00,28.6,16.8,76,49,8.6,1011.9
2015-08-30 14:00:00,30.5,17.5,78,46,7.6,1011.2
2015-08-29 14:00:00,28.0,18.1,76,55,5.4,1009.2
2015-08-28 14:00:00,29.4,19.7,78,56,15.5,1007.8
2015-08-27 14:00:00,28.8,17.0,77,49,9.7,1007.6
2015-08-26 14:00:00,28.0,17.2,76,52,7.6,1005.7
2015-08-25 14:00:00,23.4,22.8,74,97,12.6,992.4
2015-08-24 14:00:00,27.1,18.6,76,60,3.6,1007.1
2015-08-23 14:00:00,30.0,20.8,80,58,6.8,1007.1
2015-08-22 14:00:00,28.6,18.3,77,54,4.3,1005.7
2015-08-21 14:00:00,24.4,23.3,75,94,4.0,1003.4
2015-08-20 14:00:00,28.0,20.2,77,63,6.5,1009.9
2015-08-19 14:00:00,29.9,18.9,78,52,8.6,1013.5
2015-08-18 14:00:00,29.1,17.2,77,49,4.7,1013.3
2015-08-17 14:00:00,31.0,16.5,78,42,3.6,1007.1
2015-08-16 14:00:00,31.4,17.6,79,44,18.0,1006.8
2015-08-15 14:00:00,32.6,18.3,80,43,13.7,1008.5
2015-08-14 14:00:00,32.0,15.4,79,37,7.6,1005.6
2015-08-13 14:00:00,29.4,19.9,79,57,16.6,1005.3
2015-08-12 14:00:00,24.0,23.6,75,98,6.8,1003.4
2015-08-11 14:00:00,31.0,17.6,79,45,8.6,1007.8
2015-08-10 14:00:00,34.2,16.5,81,35,10.1,1008.4
2015-08-09 14:00:00,34.5,21.8,84,48,16.2,1009.7
2015-08-08 14:00:00,35.9,22.1,85,45,11.9,1013.3
2015-08-07 14:00:00,35.7,21.5,84,44,11.9,1015.1
2015-08-06 14:00:00,34.6,21.2,84,46,13.0,1011.7
2015-08-05 14:00:00,34.7,22.0,84,48,11.9,1008.5
2015-08-04 14:00:00,32.3,19.5,81,47,18.0,1008.2
2015-08-03 14:00:00,33.4,17.5,81,39,14.4,1010.8
2015-08-02 14:00:00,32.6,21.7,82,53,11.9,1011.7
2015-08-01 14:00:00,33.6,22.0,83,51,16.9,1011.3
2015-07-31 14:00:00,34.1,23.1,84,53,13.3,1009.3
2015-07-30 14:00:00,32.8,24.2,84,61,16.2,1009.7
2015-07-29 14:00:00,33.2,24.6,85,61,10.8,1008.1
2015-07-28 14:00:00,33.2,21.0,82,49,11.9,1007.9
2015-07-27 14:00:00,32.9,20.4,82,48,19.1,1007.5
2015-07-26 14:00:00,33.5,20.6,82,47,13.3,1007.8
2015-07-25 14:00:00,30.8,19.8,80,52,11.5,1009.3
2015-07-24 14:00:00,26.8,26.1,80,96,9.0,1008.5
2015-07-23 14:00:00,28.1,23.8,80,78,16.2,1009.7
2015-07-22 14:00:00,26.4,26.0,79,98,7.2,1007.4
2015-07-21 14:00:00,28.2,22.8,79,73,7.2,1008.1
2015-07-20 14:00:00,27.0,21.7,77,73,1.8,1009.6
2015-07-19 14:00:00,28.0,17.8,76,54,16.2,1011.2
2015-07-18 14:00:00,27.3,16.2,75,51,13.7,1010.2
2015-07-17 14:00:00,24.4,13.5,71,51,13.0,1005.5
2015-07-16 14:00:00,26.5,14.5,73,48,9.7,1005.6
2015-07-15 14:00:00,28.6,20.8,78,63,4.7,1005.4
2015-07-14 14:00:00,28.5,21.7,79,67,13.3,1004.6
2015-07-13 14:00:00,23.7,21.7,74,89,16.6,1000.2
2015-07-12 14:00:00,24.1,23.7,75,98,27.7,999.8
2015-07-11 14:00:00,28.3,21.5,78,67,15.5,1011.4
2015-07-10 14:00:00,30.3,20.8,80,57,8.3,1013.7
2015-07-09 14:00:00,30.3,20.8,80,57,8.3,1013.7
2015-07-08 14:00:00,22.4,22.0,72,98,2.9,1011.8
2015-07-07 14:00:00,19.8,19.4,68,98,4.7,1010.9
2015-07-06 14:00:00,24.7,16.1,72,59,16.9,1011.7
2015-07-05 14:00:00,26.3,16.2,74,54,13.3,1011.9
2015-07-04 14:00:00,24.2,13.7,71,52,7.6,1010.7
2015-07-03 14:00:00,30.4,10.3,76,29,6.5,1004.3
2015-07-02 14:00:00,25.9,15.2,73,52,16.9,1002.7
2015-07-01 14:00:00,26.4,19.0,75,64,16.6,996.4
2015-06-30 14:00:00,20.7,20.3,69,98,4.0,1000.9
2015-06-29 14:00:00,29.0,14.7,76,42,9.0,1007.5
2015-06-28 14:00:00,25.7,15.0,73,52,5.0,1010.9
