date,평균,평년
2015-12-29,1355,1613
2015-12-30,1309,1630
2015-12-31,1306,1608
2016-01-04,1305,1544
2016-01-05,1315,1571
2016-01-06,1337,1549
2016-01-07,1279,1524
2016-01-08,1251,1529
2016-01-11,1270,1494
2016-01-12,1270,1470
2016-01-13,1269,1445
2016-01-14,1315,1420
2016-01-15,1315,1405
2016-01-18,1342,1358
2016-01-19,1336,1337
2016-01-20,1336,1320
2016-01-21,1336,1306
2016-01-22,1345,1291
2016-01-25,1424,1289
2016-01-26,1506,1292
2016-01-27,1542,1301
2016-01-28,1688,1309
2016-01-29,1752,1302
2016-02-01,1811,1310
2016-02-02,1900,1311
2016-02-03,1910,1307
2016-02-04,2126,1306
2016-02-05,2079,1305
2016-02-11,1985,1278
2016-02-12,1926,1272
2016-02-15,1905,1297
2016-02-16,1879,1312
2016-02-17,1879,1328
2016-02-18,1742,1341
2016-02-19,1739,1353
2016-02-22,1751,1358
2016-02-23,1744,1359
2016-02-24,1733,1364
2016-02-25,1721,1370
2016-02-26,1712,1370
2016-02-29,1729,1343
2016-03-02,1770,1331
2016-03-03,1827,1314
2016-03-04,1813,1292
2016-03-07,1813,1266
2016-03-08,1809,1261
2016-03-09,1825,1259
2016-03-10,1915,1263
2016-03-11,1928,1266
2016-03-14,1934,1272
2016-03-15,1918,1289
2016-03-16,1918,1307
2016-03-17,1931,1315
2016-03-18,1921,1325
2016-03-21,1915,1335
2016-03-22,1844,1333
2016-03-23,1892,1329
2016-03-24,1907,1326
2016-03-25,1901,1324
2016-03-28,1904,1317
2016-03-29,1909,1321
2016-03-30,1912,1326
2016-03-31,1921,1334
2016-04-01,1898,1341
2016-04-04,1908,1334
2016-04-05,1908,1337
2016-04-06,1928,1341
2016-04-07,1891,1351
2016-04-08,1881,1364
2016-04-11,1891,1387
2016-04-12,1957,1396
2016-04-14,2078,1400
2016-04-15,2114,1398
2016-04-18,2162,1395
2016-04-19,2181,1387
2016-04-20,2197,1383
2016-04-21,2197,1382
2016-04-22,2199,1385
2016-04-25,2208,1404
2016-04-26,2188,1410
2016-04-27,2174,1412
2016-04-28,2115,1393
2016-04-29,2104,1390
2016-05-02,2118,1395
2016-05-03,2098,1397
2016-05-04,2098,1401
2016-05-09,2197,1425
2016-05-10,2192,1431
2016-05-11,2192,1420
2016-05-12,2224,1411
2016-05-13,2219,1422
2016-05-16,2255,1451
2016-05-17,2227,1550
2016-05-18,2230,1559
2016-05-19,2211,1561
2016-05-20,2179,1574
2016-05-23,2185,1632
