날짜,평균,평년,현재기온,이슬점온도,습도,태풍,태풍영향10,태풍영향12,태풍영향14,태풍영향16,태풍영향18,태풍영향20
2017-10-10,2242,1987,28.2,15.1,45.0,0,o,o,o,o,o,o
2017-10-11,2160,1990,23.6,16.8,66.0,0,x,o,o,o,o,o
2017-10-12,2073,1984,15.0,13.0,88.0,0,x,o,o,o,o,o
2017-10-13,2053,1987,20.1,1.9,30.0,0,x,x,o,o,o,o
2017-10-16,1982,1914,18.0,8.8,55.0,0,x,x,o,o,o,o
2017-10-17,1966,1896,20.4,11.8,58.0,0,x,x,x,o,o,o
2017-10-18,1847,1870,18.1,10.6,62.0,0,x,x,x,o,o,o
2017-10-19,1773,1864,21.1,11.4,54.0,0,x,x,x,x,o,o
2017-10-20,1759,1861,21.0,10.7,52.0,0,x,x,x,x,o,o
2017-10-23,1667,1897,16.3,3.3,42.0,0,x,x,x,x,x,o
2017-10-24,1644,1911,16.5,6.0,50.0,0,x,x,x,x,x,o
2017-10-25,1623,1899,18.4,4.8,41.0,0,x,x,x,x,x,x
2017-10-26,1578,1898,19.4,8.6,50.0,0,x,x,x,x,x,x
2017-10-27,1524,1937,22.6,10.0,45.0,0,x,x,x,x,x,x
2017-10-30,1456,2116,14.9,-1.2,33.0,0,x,x,x,x,x,x
2017-10-31,1428,1802,16.4,-5.4,22.0,0,x,x,x,x,x,x
2017-11-01,1393,1689,19.3,-4.9,19.0,0,x,x,x,x,x,x
2017-11-02,1350,1684,19.6,7.3,45.0,0,x,x,x,x,x,x
2017-11-03,1349,1868,21.3,7.8,42.0,0,x,x,x,x,x,x
2017-11-06,1356,1907,18.8,1.7,32.0,0,x,x,x,x,x,x
2017-11-07,1356,1885,18.8,8.1,50.0,0,x,x,x,x,x,x
2017-11-08,1347,1797,21.5,6.1,37.0,0,x,x,x,x,x,x
2017-11-09,1411,1817,18.2,3.6,38.0,0,x,x,x,x,x,x
2017-11-10,1411,1823,19.3,11.0,59.0,0,x,x,x,x,x,x
2017-11-13,1401,1772,15.2,3.6,46.0,0,x,x,x,x,x,x
2017-11-14,1404,1708,16.6,-3.5,25.0,0,x,x,x,x,x,x
2017-11-15,1395,1753,12.3,-3.1,34.0,0,x,x,x,x,x,x
2017-11-16,1393,1736,10.4,-6.0,31.0,0,x,x,x,x,x,x
2017-11-17,1402,1720,12.4,3.5,55.0,0,x,x,x,x,x,x
2017-11-20,1400,1684,9.6,-10.0,24.0,0,x,x,x,x,x,x
2017-11-21,1400,1668,12.4,-0.5,41.0,0,x,x,x,x,x,x
2017-11-22,1400,1663,11.0,-1.7,41.0,0,x,x,x,x,x,x
2017-11-23,1407,1656,6.7,-4.4,45.0,0,x,x,x,x,x,x
2017-11-24,1407,1654,9.4,-6.4,32.0,0,x,x,x,x,x,x
2017-11-27,1405,1656,16.5,4.8,46.0,0,x,x,x,x,x,x
2017-11-28,1405,1658,17.0,8.6,58.0,0,x,x,x,x,x,x
2017-11-29,1403,1662,15.2,4.2,48.0,0,x,x,x,x,x,x
2017-11-30,1420,1662,9.0,-15.5,16.0,0,x,x,x,x,x,x
2017-12-04,1412,1694,10.5,-3.9,36.0,0,x,x,x,x,x,x
2017-12-05,1412,1709,3.7,-15.5,23.0,0,x,x,x,x,x,x
2017-12-06,1408,1712,7.2,-6.9,36.0,0,x,x,x,x,x,x
2017-12-07,1408,1722,9.5,-2.4,43.0,0,x,x,x,x,x,x
2017-12-08,1408,1744,3.5,-16.8,21.0,0,x,x,x,x,x,x
2017-12-11,1413,1936,3.3,-11.8,32.0,0,x,x,x,x,x,x
2017-12-12,1413,1955,-1.2,-20.2,22.0,0,x,x,x,x,x,x
2017-12-13,1413,2143,3.2,-21.8,14.0,0,x,x,x,x,x,x
2017-12-14,1502,2164,4.8,-17.5,18.0,0,x,x,x,x,x,x
2017-12-15,1513,2189,7.5,-16.0,17.0,0,x,x,x,x,x,x
2017-12-18,1628,1947,6.5,-7.8,35.0,0,x,x,x,x,x,x
2017-12-19,1620,1903,5.4,-10.0,32.0,0,x,x,x,x,x,x
2017-12-20,1618,1906,5.3,-12.7,26.0,0,x,x,x,x,x,x
2017-12-21,1626,1906,7.5,-8.9,30.0,0,x,x,x,x,x,x
2017-12-22,1632,1875,7.6,-5.8,38.0,0,x,x,x,x,x,x
2017-12-26,1645,1743,5.8,-4.1,49.0,0,x,x,x,x,x,x
2017-12-27,1637,1720,2.0,-19.9,18.0,0,x,x,x,x,x,x
2017-12-28,1568,1751,4.6,-8.8,37.0,0,x,x,x,x,x,x
2017-12-29,1578,1649,10.5,-1.8,42.0,0,x,x,x,x,x,x
2018-01-02,1581,1639,7.7,-8.4,31.0,0,x,x,x,x,x,x
2018-01-03,1578,1538,5.4,-15.2,21.0,0,x,x,x,x,x,x
2018-01-04,1695,1529,5.0,-12.9,26.0,0,x,x,x,x,x,x
2018-01-05,1704,1556,7.0,-10.3,28.0,0,x,x,x,x,x,x
2018-01-08,1694,1534,3.6,3.0,96.0,0,x,x,x,x,x,x
2018-01-09,1694,1521,4.0,-10.1,35.0,0,x,x,x,x,x,x
2018-01-10,1694,1515,-0.1,-7.6,57.0,0,x,x,x,x,x,x
2018-01-11,1576,1510,-2.5,-15.9,35.0,0,x,x,x,x,x,x
2018-01-12,1569,1508,-2.6,-18.2,29.0,0,x,x,x,x,x,x
2018-01-15,1570,1492,13.7,1.3,43.0,0,x,x,x,x,x,x
2018-01-16,1565,1481,6.1,5.8,98.0,0,x,x,x,x,x,x
2018-01-17,1564,1465,6.3,4.7,90.0,0,x,x,x,x,x,x
2018-01-18,1581,1451,9.4,2.2,61.0,0,x,x,x,x,x,x
2018-01-19,1566,1444,8.5,-8.1,30.0,0,x,x,x,x,x,x
2018-01-22,1589,1448,5.3,1.9,79.0,0,x,x,x,x,x,x
2018-01-23,1594,1444,-1.2,-19.2,24.0,0,x,x,x,x,x,x
2018-01-24,1583,1438,-4.8,-20.9,27.0,0,x,x,x,x,x,x
2018-01-25,1615,1447,-2.7,-23.2,19.0,0,x,x,x,x,x,x
2018-01-26,1618,1462,-3.3,-23.7,19.0,0,x,x,x,x,x,x
2018-01-29,1635,1512,0.5,-15.1,30.0,0,x,x,x,x,x,x
2018-01-30,1651,1519,1.5,-16.9,24.0,0,x,x,x,x,x,x
2018-01-31,1665,1506,4.9,-10.4,32.0,0,x,x,x,x,x,x
2018-04-02,2636,1501,22.7,12.0,51.0,0,x,x,x,x,x,x
2018-04-03,2618,1493,25.0,13.8,50.0,0,x,x,x,x,x,x
2018-04-04,2575,1489,10.4,8.9,91.0,0,x,x,x,x,x,x
2018-04-05,2582,1485,11.1,6.4,73.0,0,x,x,x,x,x,x
2018-04-06,2514,1483,15.7,5.0,49.0,0,x,x,x,x,x,x
2018-04-09,2521,1488,19.5,0.0,27.0,0,x,x,x,x,x,x
2018-04-10,2527,1493,19.9,11.1,57.0,0,x,x,x,x,x,x
2018-04-11,2577,1508,24.1,10.0,41.0,0,x,x,x,x,x,x
2018-04-12,2494,1521,22.0,-0.7,22.0,0,x,x,x,x,x,x
2018-04-13,2445,1527,15.7,-0.1,34.0,0,x,x,x,x,x,x
2018-04-16,2463,1551,17.4,4.3,42.0,0,x,x,x,x,x,x
2018-04-17,2494,1550,19.2,7.9,48.0,0,x,x,x,x,x,x
2018-04-18,2523,1544,20.0,8.3,47.0,0,x,x,x,x,x,x
2018-04-19,2668,1537,21.8,8.9,44.0,0,x,x,x,x,x,x
2018-04-20,2672,1529,26.1,6.1,28.0,0,x,x,x,x,x,x
2018-04-23,2697,1523,12.1,11.4,96.0,0,x,x,x,x,x,x
2018-04-24,2669,1542,14.4,11.7,84.0,0,x,x,x,x,x,x
2018-04-25,2687,1547,19.4,1.8,31.0,0,x,x,x,x,x,x
2018-04-26,2752,1559,20.1,10.7,55.0,0,x,x,x,x,x,x
2018-04-27,2755,1561,23.7,5.0,30.0,0,x,x,x,x,x,x
2018-04-30,2782,1550,23.0,15.8,64.0,0,x,x,x,x,x,x
2018-05-02,2895,1551,17.0,15.6,92.0,0,x,x,x,x,x,x
2018-05-03,2988,1558,18.9,0.9,30.0,0,x,x,x,x,x,x
2018-05-04,3026,1563,19.8,4.6,37.0,0,x,x,x,x,x,x
2018-05-08,3011,1569,17.6,10.4,63.0,0,x,x,x,x,x,x
2018-05-09,3024,1576,16.6,7.5,55.0,0,x,x,x,x,x,x
2018-05-10,3024,1582,19.0,12.7,67.0,0,x,x,x,x,x,x
2018-05-11,3022,1569,23.3,9.2,41.0,0,x,x,x,x,x,x
2018-05-14,3021,1623,24.6,15.2,56.0,0,x,x,x,x,x,x
2018-05-15,3000,1623,28.6,14.4,42.0,0,x,x,x,x,x,x
2018-05-16,3008,1627,23.8,21.4,87.0,0,x,x,x,x,x,x
2018-05-17,3017,1691,21.6,21.2,98.0,0,x,x,x,x,x,x
2018-05-18,3004,1686,20.9,18.4,86.0,0,x,x,x,x,x,x
2018-05-21,2981,1804,23.4,13.5,54.0,0,x,x,x,x,x,x
2018-05-23,2921,1853,26.4,11.3,39.0,0,x,x,x,x,x,x
2018-05-24,2804,1792,25.9,13.7,47.0,0,x,x,x,x,x,x
2018-05-25,2700,1826,27.5,10.6,35.0,0,x,x,x,x,x,x
2018-05-28,2640,1876,20.7,18.0,85.0,0,x,x,x,x,x,x
2018-05-29,2640,1896,25.4,18.5,66.0,0,x,x,x,x,x,x
2018-05-30,2640,1904,28.4,18.1,54.0,0,x,x,x,x,x,x
2018-05-31,2616,1890,24.8,12.3,46.0,0,x,x,x,x,x,x
2018-06-01,2379,1889,26.7,15.4,50.0,0,x,x,x,x,x,x
2018-06-04,2345,1884,28.4,16.6,49.0,0,x,x,x,x,x,x
2018-06-05,2332,1883,20.5,17.8,85.0,0,x,x,x,x,x,x
2018-06-07,2318,1898,26.6,19.7,66.0,0,x,x,x,x,x,x
2018-06-08,2275,1902,27.4,18.3,58.0,0,x,x,x,x,x,x
2018-06-11,2284,1923,20.8,15.3,71.0,0,x,x,x,x,x,x
2018-06-12,2280,1906,20.8,15.1,70.0,0,x,x,x,x,x,x
2018-06-14,2233,1863,25.2,15.5,55.0,0,x,x,x,x,x,x
2018-06-15,2216,1841,24.0,13.2,51.0,0,x,x,x,x,x,x
2018-06-18,2242,1827,27.8,18.4,57.0,0,x,x,x,x,x,x
2018-06-19,2225,1823,25.5,18.1,64.0,0,x,x,x,x,x,x
2018-06-20,2167,1821,27.7,18.6,58.0,0,x,x,x,x,x,x
2018-06-21,2082,1817,31.3,12.1,31.0,0,x,x,x,x,x,x
2018-06-22,2052,1814,29.3,15.0,42.0,0,x,x,x,x,x,x
2018-06-25,2036,1803,28.1,21.3,67.0,0,x,x,x,x,x,x
2018-06-26,2011,1799,25.6,22.8,85.0,0,x,x,x,x,x,x
2018-06-27,2026,1793,27.5,23.3,78.0,0,x,x,x,x,x,x
2018-06-28,2047,1778,21.0,20.5,97.0,0,x,x,x,x,x,x
2018-06-29,2063,1778,26.2,22.4,80.0,3000,o,o,o,o,o,o
2018-07-02,2073,1764,27.6,22.3,73.0,3000,o,o,o,o,o,o
2018-07-03,2120,1762,26.4,21.3,74.0,3000,o,o,o,o,o,o
2018-07-04,2126,1764,31.0,21.4,57.0,3000,o,o,o,o,o,o
2018-07-05,2094,1771,26.0,24.0,89.0,0,o,o,o,o,o,o
2018-07-06,2061,1774,23.0,19.5,81.0,0,o,o,o,o,o,o
2018-07-09,2017,1794,22.4,20.6,90.0,0,o,o,o,o,o,o
2018-07-10,2053,1795,28.5,21.5,66.0,0,o,o,o,o,o,o
2018-07-11,2056,1790,31.9,22.8,59.0,0,o,o,o,o,o,o
2018-07-12,2072,1786,33.4,24.8,61.0,0,o,o,o,o,o,o
2018-07-13,2069,1784,32.3,21.1,52.0,0,o,o,o,o,o,o
2018-07-16,2092,1770,34.9,22.2,48.0,0,o,o,o,o,o,o
2018-07-17,2105,1764,33.3,24.4,60.0,0,o,o,o,o,o,o
2018-07-18,2140,1782,34.6,25.1,58.0,0,o,o,o,o,o,o
2018-07-19,2195,1781,35.2,24.1,53.0,0,x,o,o,o,o,o
2018-07-20,2208,1788,37.3,24.0,47.0,0,x,o,o,o,o,o
2018-07-23,2157,1824,35.2,22.8,49.0,0,x,x,o,o,o,o
2018-07-24,2195,1849,34.8,25.0,57.0,0,x,x,o,o,o,o
2018-07-25,2198,1866,36.8,23.2,46.0,0,x,x,x,o,o,o
2018-07-26,2365,1892,35.2,26.2,60.0,0,x,x,x,o,o,o
2018-07-27,2407,1899,34.6,27.0,65.0,0,x,x,x,x,o,o
2018-07-30,2772,1908,35.1,23.4,51.0,0,x,x,x,x,o,o
2018-07-31,2900,1910,36.1,22.9,47.0,0,x,x,x,x,x,o
2018-08-01,2951,1920,36.2,22.0,44.0,0,x,x,x,x,x,o
2018-08-02,3066,1935,35.5,22.0,46.0,0,x,x,x,x,x,x
2018-08-03,3050,1907,35.0,24.9,56.0,0,x,x,x,x,x,x
2018-08-06,3149,1873,33.8,24.6,59.0,0,x,x,x,x,x,x
2018-08-07,3273,1873,33.0,22.4,54.0,0,x,x,x,x,x,x
2018-08-08,3418,1866,31.0,23.3,64.0,0,x,x,x,x,x,x
2018-08-09,3632,1885,33.6,24.1,58.0,0,x,x,x,x,x,x
2018-08-10,3645,1919,27.5,24.5,84.0,0,x,x,x,x,x,x
2018-08-13,3687,1932,37.2,22.9,44.0,0,x,x,x,x,x,x
2018-08-14,3689,1905,36.7,24.9,51.0,0,x,x,x,x,x,x
2018-08-16,3639,1897,26.9,24.9,89.0,3000,o,o,o,o,o,o
2018-08-17,3633,1909,30.3,17.0,45.0,3000,o,o,o,o,o,o
2018-08-20,3626,1934,31.0,20.8,55.0,3000,o,o,o,o,o,o
2018-08-21,3590,1944,34.9,20.4,43.0,3000,o,o,o,o,o,o
2018-08-22,3546,1972,33.3,22.7,54.0,3000,o,o,o,o,o,o
2018-08-23,3703,1982,29.1,23.2,71.0,3000,o,o,o,o,o,o
2018-08-24,3894,1981,30.5,24.6,71.0,3000,o,o,o,o,o,o
2018-08-27,4047,2015,26.7,25.2,92.0,0,o,o,o,o,o,o
2018-08-28,4033,2012,32.0,24.3,64.0,0,o,o,o,o,o,o
2018-08-29,3879,2022,30.9,22.2,60.0,0,o,o,o,o,o,o
2018-08-30,3896,2047,29.1,24.4,76.0,0,o,o,o,o,o,o
2018-08-31,3913,2069,23.9,23.3,97.0,0,o,o,o,o,o,o
2018-09-03,3880,2092,27.9,22.6,73.0,0,o,o,o,o,o,o
2018-09-04,3705,2077,29.1,21.0,62.0,0,o,o,o,o,o,o
2018-09-05,3688,2069,28.2,19.1,58.0,0,o,o,o,o,o,o
2018-09-06,3668,2070,27.7,18.4,57.0,0,o,o,o,o,o,o
2018-09-07,3653,2062,24.0,20.5,81.0,0,o,o,o,o,o,o
2018-09-10,3610,2064,26.7,11.5,39.0,0,x,o,o,o,o,o
2018-09-11,3675,2054,24.2,14.8,56.0,0,x,o,o,o,o,o
2018-09-12,3652,2042,28.2,19.1,58.0,0,x,x,o,o,o,o
2018-09-13,3543,2042,21.7,20.5,93.0,0,x,x,o,o,o,o
2018-09-14,3460,2043,22.7,22.1,97.0,0,x,x,x,o,o,o
2018-09-17,3503,2022,26.8,18.6,61.0,0,x,x,x,o,o,o
2018-09-18,3525,2009,27.1,20.6,68.0,0,x,x,x,x,o,o
2018-09-19,3491,2008,25.1,20.1,74.0,0,x,x,x,x,o,o
2018-09-20,3515,2014,22.0,20.8,93.0,0,x,x,x,x,x,o
2018-09-21,3558,2005,20.5,19.8,96.0,3000,o,o,o,o,o,o
2018-09-27,3650,1991,25.1,13.6,49.0,3000,o,o,o,o,o,o
2018-09-28,3607,1976,24.7,14.7,54.0,3000,o,o,o,o,o,o
2018-10-01,3497,1938,21.0,6.1,38.0,3000,o,o,o,o,o,o
2018-10-02,3407,1929,23.0,10.0,44.0,0,o,o,o,o,o,o
2018-10-04,3268,1926,24.2,13.1,50.0,0,o,o,o,o,o,o
2018-10-05,3133,1928,20.2,19.8,98.0,0,o,o,o,o,o,o
2018-10-08,3050,1944,23.2,8.0,38.0,0,o,o,o,o,o,o
2018-10-10,2964,1922,19.8,10.7,56.0,0,o,o,o,o,o,o
2018-10-11,2881,1901,17.8,1.2,33.0,0,o,o,o,o,o,o
2018-10-12,2828,1867,18.9,4.2,38.0,0,o,o,o,o,o,o
2018-10-15,2796,1783,22.0,7.0,38.0,0,o,o,o,o,o,o
2018-10-16,2789,1744,17.4,10.7,65.0,0,o,o,o,o,o,o
2018-10-17,2742,1704,21.9,6.9,38.0,0,o,o,o,o,o,o
2018-10-18,2617,1657,20.1,5.3,38.0,0,x,o,o,o,o,o
2018-10-19,2605,1655,20.1,7.4,44.0,0,x,o,o,o,o,o
2018-10-22,2556,1680,21.7,11.9,54.0,0,x,x,o,o,o,o
2018-10-23,2478,1687,21.5,9.3,46.0,0,x,x,o,o,o,o
2018-10-24,2502,1710,21.4,6.8,39.0,0,x,x,x,o,o,o
2018-10-25,2383,1648,21.9,7.3,39.0,0,x,x,x,o,o,o
2018-10-26,2364,1749,17.9,14.0,78.0,0,x,x,x,x,o,o
2018-10-29,2245,1756,17.2,8.3,56.0,0,x,x,x,x,o,o
2018-10-30,2151,1813,15.0,-0.7,34.0,0,x,x,x,x,x,o
2018-10-31,2108,1701,16.4,2.0,38.0,0,x,x,x,x,x,o
2018-11-01,1953,1521,16.6,0.6,34.0,0,x,x,x,x,x,x
2018-11-02,1941,1505,19.3,2.1,32.0,0,x,x,x,x,x,x
2018-11-05,1866,1577,22.1,7.1,38.0,0,x,x,x,x,x,x
2018-11-06,1844,1577,21.8,9.6,46.0,0,x,x,x,x,x,x
2018-11-07,1832,1564,19.5,11.5,60.0,0,x,x,x,x,x,x
2018-11-08,1783,1556,17.6,17.1,97.0,0,x,x,x,x,x,x
2018-11-09,1740,1589,18.0,6.5,47.0,0,x,x,x,x,x,x
2018-11-12,1721,1588,16.2,9.3,64.0,0,x,x,x,x,x,x
2018-11-13,1700,1571,16.9,8.3,57.0,0,x,x,x,x,x,x
2018-11-14,1674,1528,18.5,5.3,42.0,0,x,x,x,x,x,x
2018-11-15,1604,1525,18.7,6.1,44.0,0,x,x,x,x,x,x
2018-11-16,1592,1516,13.5,8.9,74.0,0,x,x,x,x,x,x
2018-11-19,1588,1497,15.4,-3.5,27.0,0,x,x,x,x,x,x
2018-11-20,1573,1484,15.3,-6.3,22.0,0,x,x,x,x,x,x
2018-11-21,1573,1477,12.5,-2.1,36.0,0,x,x,x,x,x,x
2018-11-22,1585,1479,10.5,-12.2,19.0,0,x,x,x,x,x,x
2018-11-23,1585,1482,9.8,-9.8,24.0,0,x,x,x,x,x,x
2018-11-26,1564,1486,16.9,4.8,45.0,0,x,x,x,x,x,x
2018-11-27,1563,1485,16.9,0.5,33.0,0,x,x,x,x,x,x
2018-11-28,1577,1484,15.8,0.0,34.0,0,x,x,x,x,x,x
2018-11-29,1535,1481,14.7,-3.6,28.0,0,x,x,x,x,x,x
2018-11-30,1541,1480,15.9,1.9,39.0,0,x,x,x,x,x,x
2018-12-03,1526,1492,16.6,15.6,94.0,0,x,x,x,x,x,x
2018-12-04,1526,1499,15.5,11.4,77.0,0,x,x,x,x,x,x
2018-12-05,1524,1503,12.7,-0.9,39.0,0,x,x,x,x,x,x
2018-12-06,1475,1505,7.3,3.1,75.0,0,x,x,x,x,x,x
2018-12-10,1496,1581,7.1,-12.1,24.0,0,x,x,x,x,x,x
2018-12-11,1496,1670,3.3,1.8,90.0,0,x,x,x,x,x,x
2018-12-12,1496,1715,6.0,-10.3,30.0,0,x,x,x,x,x,x
2018-12-13,1440,1823,7.5,-4.6,42.0,0,x,x,x,x,x,x
2018-12-14,1440,2012,4.9,-13.0,26.0,0,x,x,x,x,x,x
2018-12-17,1440,1895,9.0,-0.8,50.0,0,x,x,x,x,x,x
2018-12-18,1511,1895,9.3,-2.6,43.0,0,x,x,x,x,x,x
2018-12-19,1513,1870,14.7,-0.6,35.0,0,x,x,x,x,x,x
2018-12-20,1516,1840,10.5,2.0,56.0,0,x,x,x,x,x,x
2018-12-21,1524,1850,12.0,4.2,59.0,0,x,x,x,x,x,x
2018-12-24,1521,1598,7.5,-15.3,18.0,0,x,x,x,x,x,x
2018-12-26,1523,1594,10.2,-8.4,26.0,0,x,x,x,x,x,x
2018-12-27,1492,1572,3.2,-21.8,14.0,0,x,x,x,x,x,x
2018-12-28,1488,1610,0.1,-16.2,28.0,0,x,x,x,x,x,x
2018-12-31,1498,1441,6.4,-9.1,32.0,0,x,x,x,x,x,x
2019-01-02,1475,1440,5.5,-10.3,31.0,0,x,x,x,x,x,x
2019-01-03,1459,1428,6.5,-14.9,20.0,0,x,x,x,x,x,x
2019-01-04,1457,1426,2.9,-12.6,31.0,0,x,x,x,x,x,x
2019-01-07,1456,1444,7.5,-14.0,20.0,0,x,x,x,x,x,x
2019-01-08,1454,1438,7.4,-9.0,30.0,0,x,x,x,x,x,x
2019-01-09,1454,1420,3.5,-11.3,33.0,0,x,x,x,x,x,x
2019-01-10,1395,1411,8.1,-11.3,24.0,0,x,x,x,x,x,x
2019-01-11,1393,1403,9.9,-3.4,39.0,0,x,x,x,x,x,x
2019-01-14,1406,1381,10.8,-5.6,31.0,0,x,x,x,x,x,x
2019-01-15,1393,1384,10.2,-4.6,35.0,0,x,x,x,x,x,x
2019-01-16,1367,1384,3.5,-15.2,24.0,0,x,x,x,x,x,x
2019-01-17,1429,1375,6.5,-7.1,37.0,0,x,x,x,x,x,x
2019-01-18,1414,1375,9.0,-7.6,30.0,0,x,x,x,x,x,x
2019-01-21,1413,1385,7.0,-7.8,34.0,0,x,x,x,x,x,x
2019-01-22,1435,1389,10.3,-5.3,33.0,0,x,x,x,x,x,x
2019-01-23,1415,1387,11.2,-3.3,36.0,0,x,x,x,x,x,x
2019-01-24,1424,1382,10.1,-12.5,19.0,0,x,x,x,x,x,x
2019-01-25,1421,1390,6.6,-11.5,26.0,0,x,x,x,x,x,x
2019-01-28,1398,1449,10.7,-9.0,24.0,0,x,x,x,x,x,x
2019-01-29,1386,1461,10.6,-2.8,39.0,0,x,x,x,x,x,x
2019-01-30,1399,1473,12.6,-10.4,19.0,0,x,x,x,x,x,x
2019-01-31,1409,1481,-0.6,-1.0,97.0,0,x,x,x,x,x,x
2019-02-01,1422,1495,3.9,-6.1,48.0,0,x,x,x,x,x,x
2019-02-07,1400,1661,11.5,1.9,52.0,0,x,x,x,x,x,x
2019-02-08,1403,1698,6.7,-10.5,28.0,0,x,x,x,x,x,x
2019-02-11,1412,1711,5.4,-11.6,28.0,0,x,x,x,x,x,x
2019-02-12,1394,1693,7.3,-8.3,32.0,0,x,x,x,x,x,x
2019-02-13,1394,1684,8.2,-10.2,26.0,0,x,x,x,x,x,x
2019-02-14,1399,1677,9.6,-1.4,46.0,0,x,x,x,x,x,x
2019-02-15,1399,1672,10.3,1.1,53.0,0,x,x,x,x,x,x
2019-02-18,1399,1654,9.1,-10.9,23.0,0,x,x,x,x,x,x
2019-02-19,1386,1644,6.5,5.7,95.0,0,x,x,x,x,x,x
2019-02-20,1372,1636,9.0,-2.6,44.0,0,x,x,x,x,x,x
2019-02-21,1293,1632,11.5,0.0,45.0,0,x,x,x,x,x,x
2019-02-22,1299,1631,13.5,0.8,42.0,0,x,x,x,x,x,x
2019-02-25,1318,1634,16.2,-4.9,23.0,0,x,x,x,x,x,x
2019-02-26,1316,1639,11.4,-14.3,15.0,0,x,x,x,x,x,x
2019-02-27,1326,1644,12.9,2.7,50.0,0,x,x,x,x,x,x
2019-02-28,1354,1647,13.6,-4.6,28.0,0,x,x,x,x,x,x
2019-03-04,1346,1666,17.8,0.0,30.0,0,x,x,x,x,x,x
2019-03-05,1350,1669,16.6,0.6,34.0,0,x,x,x,x,x,x
2019-03-06,1344,1674,10.4,7.8,84.0,0,x,x,x,x,x,x
2019-03-07,1349,1677,12.5,0.8,45.0,0,x,x,x,x,x,x
2019-03-08,1339,1676,15.4,4.4,48.0,0,x,x,x,x,x,x
2019-03-11,1339,1673,14.7,4.3,50.0,0,x,x,x,x,x,x
2019-03-12,1342,1673,14.0,0.5,40.0,0,x,x,x,x,x,x
2019-03-13,1346,1671,9.5,-6.0,33.0,0,x,x,x,x,x,x
2019-03-14,1345,1671,12.5,-11.9,17.0,0,x,x,x,x,x,x
2019-03-15,1339,1665,12.9,0.6,43.0,0,x,x,x,x,x,x
2019-03-18,1327,1674,14.4,0.2,38.0,0,x,x,x,x,x,x
2019-03-19,1327,1674,21.7,1.3,26.0,0,x,x,x,x,x,x
2019-03-20,1327,1669,15.7,12.2,80.0,0,x,x,x,x,x,x
2019-03-21,1282,1653,21.3,9.5,47.0,0,x,x,x,x,x,x
2019-03-22,1272,1645,14.1,-2.3,32.0,0,x,x,x,x,x,x
2019-03-25,1270,1638,14.4,0.2,38.0,0,x,x,x,x,x,x
2019-03-26,1252,1636,20.1,-1.7,23.0,0,x,x,x,x,x,x
2019-03-27,1246,1635,19.0,0.0,28.0,0,x,x,x,x,x,x
2019-03-28,1330,1634,16.5,8.4,59.0,0,x,x,x,x,x,x
2019-03-29,1320,1633,17.3,10.1,63.0,0,x,x,x,x,x,x
2019-04-01,1326,1639,12.1,-8.4,23.0,0,x,x,x,x,x,x
2019-04-02,1333,1641,13.8,-6.4,24.0,0,x,x,x,x,x,x
2019-04-03,1337,1642,15.5,-9.4,17.0,0,x,x,x,x,x,x
2019-04-04,1328,1642,20.9,-3.6,19.0,0,x,x,x,x,x,x
2019-04-05,1329,1642,21.4,3.5,31.0,0,x,x,x,x,x,x
2019-04-08,1323,1653,21.8,-0.2,23.0,0,x,x,x,x,x,x
2019-04-09,1318,1658,14.4,1.9,43.0,0,x,x,x,x,x,x
2019-04-10,1315,1662,11.2,6.3,72.0,0,x,x,x,x,x,x
2019-04-11,1330,1675,13.2,5.3,59.0,0,x,x,x,x,x,x
2019-04-12,1337,1693,17.7,0.3,31.0,0,x,x,x,x,x,x
2019-04-15,1342,1716,20.5,-2.6,21.0,0,x,x,x,x,x,x
2019-04-16,1342,1727,22.5,2.5,27.0,0,x,x,x,x,x,x
2019-04-17,1348,1733,24.4,5.1,29.0,0,x,x,x,x,x,x
2019-04-18,1357,1732,22.5,7.8,39.0,0,x,x,x,x,x,x
2019-04-19,1364,1736,15.6,7.6,59.0,0,x,x,x,x,x,x
2019-04-22,1351,1758,24.1,12.0,47.0,0,x,x,x,x,x,x
2019-04-23,1348,1765,17.8,13.3,75.0,0,x,x,x,x,x,x
2019-04-24,1345,1766,21.4,18.5,84.0,0,x,x,x,x,x,x
2019-04-25,1295,1771,16.9,8.3,57.0,0,x,x,x,x,x,x
2019-04-26,1286,1773,11.8,9.6,87.0,0,x,x,x,x,x,x
2019-04-29,1313,1761,12.3,11.5,95.0,0,x,x,x,x,x,x
2019-04-30,1338,1762,18.7,13.1,70.0,0,x,x,x,x,x,x
2019-05-02,1482,1760,20.9,12.8,60.0,0,x,x,x,x,x,x
2019-05-03,1517,1767,24.8,7.4,33.0,0,x,x,x,x,x,x
2019-05-07,1504,1775,21.8,2.4,28.0,0,x,x,x,x,x,x
2019-05-08,1528,1785,23.8,1.9,24.0,0,x,x,x,x,x,x
2019-05-09,1549,1755,26.4,3.5,23.0,0,x,x,x,x,x,x
2019-05-10,1561,1727,25.4,6.0,29.0,0,x,x,x,x,x,x
2019-05-13,1576,1741,24.8,13.9,51.0,0,x,x,x,x,x,x
2019-05-14,1576,1783,25.8,17.1,59.0,0,x,x,x,x,x,x
2019-05-15,1594,1735,27.2,13.5,43.0,0,x,x,x,x,x,x
2019-05-16,1543,1973,29.5,14.8,41.0,0,x,x,x,x,x,x
