"지역(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"지역(1)",도서관 수(관),총 도서(인쇄) 수(권),총 비도서 수(점),총 연속간행물 수(종),총 전자자료 수(종),1관당 평균 도서(인쇄) 수(권),1관당 비도서 수(점),1관당 연속간행물 수(종),1관당 전자자료 수(종),총 방문자 수(명),1관당 방문자 수(명),연간 이용자 수(명),연간 대출 도서 수(권),도서관 수(관),총 도서(인쇄) 수(권),총 비도서 수(점),총 연속간행물 수(종),총 전자자료 수(종),1관당 평균 도서(인쇄) 수(권),1관당 비도서 수(점),1관당 연속간행물 수(종),1관당 전자자료 수(종),총 방문자 수(명),1관당 방문자 수(명),연간 이용자 수(명),연간 대출 도서 수(권)
"전국",828,78126501,3279892,140701,20322533,94356,3961,170,24544,285408417,344696,192028784,125539467,865,83969878,3409679,147454,26697138,97075,3942,170,30864,287018433,331813,200125561,130886082
"서울",116,9754776,437061,24276,3951264,84093,3768,209,34063,60377702,520497,41676378,21445003,123,10693144,430180,24956,4287080,86936,3497,203,34854,64286726,522656,47072804,22206149
"부산",31,4022500,212416,9317,129857,129758,6852,301,4189,18033410,581723,13663241,7612868,31,4269941,225230,8967,184513,137740,7265,289,5952,18007116,580875,13480298,7612783
"대구",27,3056349,135289,14398,69585,113198,5011,533,2577,11226456,415795,6031749,5071932,28,3274205,143886,8581,57449,116936,5139,306,2052,11714044,418359,6481163,5362168
"인천",36,3006391,125863,6296,100959,83511,3496,175,2804,13104235,364007,9818038,5554684,39,3282339,133528,5561,122932,84163,3424,143,3152,14716609,377349,10920305,5789247
"광주",17,1976133,44160,4023,62036,116243,2598,237,3649,7858724,462278,4418967,2838688,17,2088014,43492,4124,74380,122824,2558,243,4375,8045933,473290,4679002,3068960
"대전",22,2142824,100628,2135,27704,97401,4574,97,1259,7252961,329680,4363861,2768092,23,2299078,104458,2425,37466,99960,4542,105,1629,7414658,322376,4296830,3034477
"울산",12,1285036,101967,2676,19407,107086,8497,223,1617,4494442,374537,3864537,2443125,13,1389225,111326,2642,21398,106863,8564,203,1646,4082264,314020,3364817,2132677
"세종",1,88490,1537,165,0,88490,1537,165,0,130349,130349,92993,98814,1,98778,1537,182,0,98778,1537,182,0,172475,172475,142566,138261
"경기",184,21209831,946865,26839,14626358,115271,5146,146,79491,84735991,460522,60592347,40644166,194,22994747,933647,39432,20577175,118530,4813,203,106068,84308425,434580,61892563,42826559
"강원",47,4161455,148238,10286,83371,88542,3154,219,1774,8107695,172504,5177313,3512815,47,4371899,163080,7870,77486,93019,3470,167,1649,7427824,158039,4935013,3433265
"충북",36,2651362,83940,2616,85258,73649,2332,73,2368,7623282,211758,5024204,3418429,38,2818504,92791,2662,62581,74171,2442,70,1647,7475529,196724,5001953,4238228
"충남",50,4073769,111190,3247,89731,81475,2224,65,1795,9964847,199297,5464897,4772439,55,4439457,120209,4356,127577,80717,2186,79,2320,9888535,179792,5846826,5044315
"전북",49,3588990,101057,3006,151899,73245,2062,61,3100,9750015,198980,4154523,4256436,53,3965086,121112,2318,184689,74813,2285,44,3485,9814524,185180,4365781,4163778
"전남",59,4761001,222473,9998,296034,80695,3771,169,5018,11772732,199538,6699179,4377225,60,5042081,241855,12101,226449,84035,4031,202,3774,9683565,161393,6190998,4516972
"경북",62,4947052,150798,7576,202118,79791,2432,122,3260,11286502,182040,8250459,6787012,63,5265836,173059,7941,208547,83585,2747,126,3310,10641111,168907,7985410,6416950
"경남",58,5435445,288454,12176,381879,93715,4973,210,6584,16246819,280118,10727971,8173870,59,5625159,311088,11667,411350,95342,5273,198,6972,16278091,275900,11542044,8978458
"제주",21,1965097,67956,1671,45073,93576,3236,80,2146,3442255,163917,2008127,1763869,21,2052385,59201,1669,36066,97733,2819,79,1717,3061004,145762,1927188,1922835
