"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
"통계분류(1)",통계분류(2),합계,출판,만화,음악,영화,비중,합계,출판,만화,음악,영화,비중
"합계",소계,94795221,20586789,854837,4606882,4565106,100,100336843,20509764,919408,4975196,5112219,100
"서울",소계,65017327,11622365,402065,2915325,2784289,68.6,64284051,11552369,447024,3160981,3097643,64.1
"7개시",부산,2198854,553718,9118,170631,173295,2.3,2431745,554852,9202,174635,226148,2.4
"7개시",대구,1634581,415169,12779,173355,125618,1.7,1809457,411562,13487,184256,136302,1.8
"7개시",인천,1314383,410037,17376,99361,111402,1.4,1430406,409622,17741,105843,117691,1.4
"7개시",광주,877750,270325,23472,17692,98859,0.9,867444,268946,24081,18773,72735,0.9
"7개시",대전,1103296,243757,6919,32916,78946,1.2,1145037,242767,7409,33579,94774,1.1
"7개시",울산,458645,135272,3334,31959,51095,0.5,486044,133360,3339,32546,63179,0.5
"9개 도",경기,16829045,5894748,319469,620273,690343,17.8,21703998,5904055,333888,680341,909902,21.6
"9개 도",강원,472411,62329,12899,51898,47956,0.5,503881,62422,13799,54225,46967,0.5
"9개 도",충북,756484,83535,2224,26333,65417,0.8,747514,82870,2232,27210,38275,0.7
"9개 도",충남,691575,211352,1838,32169,56505,0.7,728630,209960,1843,33001,48020,0.7
"9개 도",전북,525732,100375,10171,30965,69396,0.6,535118,99475,11053,35136,51981,0.5
"9개 도",전남,372940,48580,1293,41334,30215,0.4,355662,47621,1295,42230,28161,0.4
"9개 도",경북,1061978,277339,21836,260451,54819,1.1,1167653,274091,22751,281912,63883,1.2
"9개 도",경남,1264372,219993,5848,93244,108048,1.3,1316881,217991,5854,101024,105540,1.3
"9개 도",제주,215848,37895,4196,8976,18903,0.2,823322,37801,4410,9504,11018,0.8
