행정구역,2014 합계,2014 도서,2014 만화,2014 음악,2014 영화,2015 합계,2015 도서,2015 만화,2015 음악,2015 영화,총합계,총도서,총음악,총영화
전국,94795221,20586789,854837,4606882,4565106,100336843,20509764,919408,4975196,5112219,195132064,42870798,9582078,9677325
서울,65017327,11622365,402065,2915325,2784289,64284051,11552369,447024,3160981,3097643,129301378,24023823,6076306,5881932
부산,2198854,553718,9118,170631,173295,2431745,554852,9202,174635,226148,4630599,1126890,345266,399443
대구,1634581,415169,12779,173355,125618,1809457,411562,13487,184256,136302,3444038,852997,357611,261920
인천,1314383,410037,17376,99361,111402,1430406,409622,17741,105843,117691,2744789,854776,205204,229093
광주,877750,270325,23472,17692,98859,867444,268946,24081,18773,72735,1745194,586824,36465,171594
대전,1103296,243757,6919,32916,78946,1145037,242767,7409,33579,94774,2248333,500852,66495,173720
울산,458645,135272,3334,31959,51095,486044,133360,3339,32546,63179,944689,275305,64505,114274
경기,16829045,5894748,319469,620273,690343,21703998,5904055,333888,680341,909902,38533043,12452160,1300614,1600245
강원,472411,62329,12899,51898,47956,503881,62422,13799,54225,46967,976292,151449,106123,94923
충북,756484,83535,2224,26333,65417,747514,82870,2232,27210,38275,1503998,170861,53543,103692
충남,691575,211352,1838,32169,56505,728630,209960,1843,33001,48020,1420205,424993,65170,104525
전북,525732,100375,10171,30965,69396,535118,99475,11053,35136,51981,1060850,221074,66101,121377
전남,372940,48580,1293,41334,30215,355662,47621,1295,42230,28161,728602,98789,83564,58376
경북,1061978,277339,21836,260451,54819,1167653,274091,22751,281912,63883,2229631,596017,542363,118702
경남,1264372,219993,5848,93244,108048,1316881,217991,5854,101024,105540,2581253,449686,194268,213588
제주,215848,37895,4196,8976,18903,823322,37801,4410,9504,11018,1039170,84302,18480,29921
