"통계분류(1)",통계분류(2),2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011
"통계분류(1)",통계분류(2),합계,출판,만화,음악,영화,비중,합계,출판,만화,음악,영화,비중
"합계",소계,60481039,20126982,689619,2930818,3577948,100,69808799,20027340,694658,3789492,3920019,100
"서울",소계,41239701,12368460,344793,1543936,2821320,68.2,46576778,12312129,342645,2324361,2550077,66.7
"7개시",부산,1342084,553724,23273,120871,84982,2.2,1542861,537346,21735,131863,149191,2.2
"7개시",대구,1079762,478936,11380,107020,35216,1.8,1213834,476137,11302,112492,90275,1.7
"7개시",인천,869631,327104,13040,105007,33741,1.4,1041461,321585,13409,112779,118220,1.5
"7개시",광주,655410,249244,8385,57031,39088,1.1,678312,245435,8373,15879,65274,1
"7개시",대전,629263,227714,9747,56600,38814,1,925515,224734,9940,58908,62088,1.3
"7개시",울산,290834,94006,4851,44192,8600,0.5,348545,91083,4605,45417,32181,0.5
"9개 도",경기,11075861,4855481,230200,455871,301437,18.3,13729116,4875655,238847,536594,503839,19.7
"9개 도",강원,314701,76798,4931,48990,21832,0.5,376099,75945,4907,50187,35889,0.5
"9개 도",충북,433928,106511,5779,50459,62619,0.7,463110,106455,5685,51816,39369,0.7
"9개 도",충남,427914,142410,5840,59009,19160,0.7,492197,140084,6154,60065,53508,0.7
"9개 도",전북,358556,91544,4421,42033,13715,0.6,418807,90850,4418,45235,65231,0.6
"9개 도",전남,252504,39502,4192,47622,27691,0.4,287586,39738,4217,48994,24736,0.4
"9개 도",경북,576840,250845,8458,85952,22318,1,636221,235283,8234,86209,48239,0.9
"9개 도",경남,632681,224494,8889,89624,28920,1,754576,217387,8747,90678,71829,1.1
"9개 도",제주,304369,40209,1440,16601,18495,0.5,323781,37494,1440,18015,10073,0.5
