"지역(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"지역(1)",도서관 수(관),총 도서(인쇄) 수(권),총 비도서 수(점),총 연속간행물 수(종),총 전자자료 수(종),1관당 평균 도서(인쇄) 수(권),1관당 비도서 수(점),1관당 연속간행물 수(종),1관당 전자자료 수(종),총 방문자 수(명),1관당 방문자 수(명),연간 이용자 수(명),연간 대출 도서 수(권),도서관 수(관),총 도서(인쇄) 수(권),총 비도서 수(점),총 연속간행물 수(종),총 전자자료 수(종),1관당 평균 도서(인쇄) 수(권),1관당 비도서 수(점),1관당 연속간행물 수(종),1관당 전자자료 수(종),총 방문자 수(명),1관당 방문자 수(명),연간 이용자 수(명),연간 대출 도서 수(권)
"전국",930,89615800,3830445,129990,14347771,96361,4119,140,15428,290607536,312481,194571747,137975967,978,93838190,3781465,131392,10514194,95949,3867,134,10751,281672237,288008,194425423,127891750
"서울",132,11213319,655378,24833,4370229,84949,4965,188,33108,71043565,538209,46143554,27006534,146,11929816,498842,24967,4766043,81711,3417,171,32644,71050641,486648,48719001,24411227
"부산",32,4536786,236880,9136,278057,141775,7403,286,8689,18393105,574785,13695269,7922022,36,4761052,250409,10813,384338,132251,6956,300,10676,18008461,500235,12963835,7653484
"대구",30,3452207,158481,8716,669711,115074,5283,291,22324,11547732,384924,6412326,5312123,33,3649134,170363,6682,266852,110580,5163,202,8086,12232440,370680,6670518,5310291
"인천",42,3620661,149822,5882,209335,86206,3567,140,4984,14655644,348944,11741090,5959378,46,3834064,163270,6096,184561,83349,3549,133,4012,13802444,300053,10231370,5503350
"광주",20,2221940,47301,5284,115976,111097,2365,264,5799,8330401,416520,4661870,3089138,21,2315545,48414,6452,127929,110264,2305,307,6092,8887618,423220,4908791,3169633
"대전",23,2402238,106957,2263,39178,104445,4650,98,1703,7290872,316994,4330190,3206956,24,2501550,117235,2307,42432,104231,4885,96,1768,6746604,281109,3698851,2956502
"울산",17,1575625,124226,2847,22015,92684,7307,167,1295,4749042,279355,2930288,1994640,17,1657660,129787,2328,24153,97509,7635,137,1421,5077566,298680,3866096,1822360
"세종",3,119906,1537,213,0,39969,512,71,0,263347,87782,237031,175728,4,137571,1859,328,0,34393,465,82,0,366775,91694,310801,224723
"경기",217,25401554,1040002,27189,7103303,117058,4793,125,32734,77584847,357534,56129492,43820666,228,26120441,1007325,28225,2712352,114563,4418,124,11896,69517314,304901,55959946,41322804
"강원",50,4507819,181626,5642,133688,90156,3633,113,2674,7109992,142200,4947620,3649021,53,4559987,175307,5327,293381,86037,3308,101,5535,7103090,134021,4852510,3375197
"충북",41,3045457,99036,2896,132222,74279,2416,71,3225,8683869,211802,5059598,4656958,42,3258201,113826,2900,246298,77576,2710,69,5864,8418964,200452,5097350,3591893
"충남",57,4689097,119521,3605,163633,82265,2097,63,2871,10576066,185545,6039366,5113118,58,4976415,121252,3848,187356,85800,2091,66,3230,10709126,184640,6531388,5391436
"전북",55,4155468,119022,2458,226916,75554,2164,45,4126,10471177,190385,4936406,3970427,56,4403623,135335,2393,322862,78636,2417,43,5765,10247893,182998,4881943,3812430
"전남",63,5059573,235619,7382,244049,80311,3740,117,3874,10046371,159466,6772139,4715830,64,5541424,260435,8195,270192,86585,4069,128,4222,9771416,152678,6089401,4233853
"경북",64,5428703,163947,8204,218126,84823,2562,128,3408,10415055,162735,7581362,5303983,64,5655710,168420,7414,220276,88370,2632,116,3442,9966512,155727,7311116,5290260
"경남",63,6056635,328264,11685,372667,96137,5211,185,5915,16477755,261552,11159001,10149011,65,6324755,353261,11316,399435,97304,5435,174,6145,16795652,258395,10581522,8101966
"제주",21,2128812,62826,1755,48666,101372,2992,84,2317,2968696,141366,1795145,1930434,21,2211242,66125,1801,65734,105297,3149,86,3130,2969721,141415,1750984,1720341
